subcat1,Name,Height, subcat2
One Piece,Thousand Sunny,1640,TV
Ready Player 1,RP1 Mecha Godzilla,3000,Movies
Deviantart,Mysterious Monster,5890,Comics
DC Comics Flashpoint,Cyborg (Post-Flash Point),182,Comics
Evangelion,Sachiel,8000,Video games
One Piece,Going Merry,360,TV
TABS,Clubber,178,Video games
TABS,Samurai,185,Video games
TABS,Cannon,215,Video games
TABS,Super Peasent,198,Video games
Madness Combat,Mag-Hank,248,Video games
TABS,Chieftain,202,Video games
TABS,Chieftain (Fixed),202,Video games
Marvel,Galactus (Smaller Size),914,Comics
Garry's mod,THERULER,250,Video games
Looney Tunes,Yosemite Sam,48.260000000000005,TV
Garry's mod,THE HEADBANGER,510,Video games
Shrek,Shrek,218.44000000000003,Movies
FNF Friday night funkin’,Nikusa,304.8,Video games
Nunu,Nunu,132.08,Video games
Dead by Daylight,Hag,182.88,Video games
Dead by Daylight,Pig (Dead by Daylight),160.02,Video games
Dead by Daylight,Huntress,202,Video games
Dead by Daylight,Leatherface,193.04,Video games
Dead by Daylight,Legion,177.8,Video games
Dead by Daylight,Trapper,200.66,Video games
Dead by Daylight,Deathslinger,221,Video games
Dead by Daylight,The Doctor (DBD),232,Video games
Dead by Daylight,Ghostface (Dead by Daylight),177.8,Video games
Dead by Daylight,Freddy (Dead by daylight),177,Video games
Dead by Daylight,Nurse,182,Video games
Persona 5,Joker,175.26,Video games
Dead by Daylight,The Blight,200.66,Video games
Dead by Daylight,Pinhead (Dead by Daylight),195.57999999999998,Video games
Dead by Daylight,Pyramid Head ,228.60000000000002,Video games
Dead by Daylight,Demogorgon (Dead by Daylight),256.54,Video games
Dead by Daylight,Victor,88.9,Video games
Dead by Daylight,Clown,193.04,Video games
Dead by Daylight,Plague,203.2,Video games
Dead by Daylight,Oni,189,Video games
Dead by Daylight,Charlotte,200.66,Video games
Dead by Daylight,Hillbilly ,223.52,Video games
Dead by Daylight,Wraith,202,Video games
Wreck It Ralph,Ralph,300,Movies
Monsters Inc,James P. Sullivan,230,Movies
How To Train Your Dragon,Toothless,450,Movies
Monsters Inc,Micheal‘Mike’ wazouski,70,Movies
Cars,McQueen ,150,Movies
Cars,Doc hudson ,187,Movies
The grinch,Grinch,220,Movies
The bfb,Four,30,TV
Cory Carson ,Cory Carson ,104,TV
Teen Titans GO!,Doomsday (Teen Titans GO!),500,Comics
TV,Squid game doll,709,TV
Aladdin,The genie,84100,Movies
Battle for dream island,Firey jr (Bfdi 1b),29,TV
Team Fortress 2,Scout,180.34,Video games
Mickey Mouse,Daisy duck,66,TV
my singing monsters,entbrat,470,Video games
Kingdom Hearts ,Sora (15),161,Video games
Star Wars,Darth Vader,203.2,Movies
Over the hedge,Rj,69,Movies
Team Fortress 2,Spy,184,Video games
Mickey Mouse,MiniFred mouse,65,TV
Bfb,Lightning (irl),482803,TV
Finding Nemo,Dory ,6,Movies
Team Fortress 2,Engineer,178,Video games
Son Of Kong,KIKO ,73.66,Movies
my singing monsters,quarrister,320,Video games
Team Fortress 2,Medic,191,Video games
Team Fortress 2,Heavy,205.74,Video games
ubersatz,doc spindle,254,Video games
Madagascar,Alex,173.1,Movies
Team Fortress 2,Demoman,187.9,Video games
Team Fortress 2,Pyro,175.3,Video games
Team Fortress 2,Sniper,198,Video games
Henry Stickmin,Airship,280,TV
The lion king,Simba,155,Movies
Team Fortress 2,Soldier,186,Video games
galactic comics,2016 ho3,6500,Comics
Five Nights At Freddy’s Help Wanted,Glitchtrap,218.44000000000003,Video games
Five Nights At Freddy's 3,Springtrap,215.9,Video games
my singing monsters,reedling,100,Video games
my singing monsters,maggpi,520,Video games
my singing monsters,pompom,150,Video games
my singing monsters,riff,240,Video games
my singing monsters,scups,100,Video games
my singing monsters,parlsona,510,Video games
Mortal Kombat,Raiden (Mortal Kombat),213.36,Video games
my singing monsters,stoowarb,600,Video games
my singing monsters,shellbeat,260,Video games
Mortal Kombat,Tremor,221,Video games
my singing monsters,cybop,80,Video games
Mortal Kombat,Jax Briggs,203.2,Video games
my singing monsters,wubbox,690,Video games
my singing monsters,tawkerr,440,Video games
my singing monsters,tweedle,210,Video games
my singing monsters,noggin,250,Video games
my singing monsters,ghazt,400,Video games
my singing monsters,plant island,6608,Video games
Sonic The Hedgehog,Espio The Chameleon,110,Video games
DC,Cosmic Armor Superman ,678,Comics
American Dad ,Steve Smith,140,TV
American Dad ,Francine Smith,168,TV
American Dad,Stan Smith,190,TV
American Dad ,Roger Smith,145,TV
American Dad,Hayley Smith,150,TV
Warcraft,Arthas ,343,Video games
Red Dead Redemtion,Dutch van der Linde,196,Video games
Avengers,Scarlet Witch,183.6,Movies
Psychonuats,Raz,127,Video games
Drawn to Life,Baki,60.96,Video games
marvel,scorpion,165.1,Comics
Avengers,Beyonder,10000000,Comics
Madagascar ,Marty,150,Movies
Evangelion,Sachiel ,8000,Movies
Lord of the Rings,Smaug,9800,Movies
The Predator,Ultimate predator,358.14000000000004,Movies
Angry Birds,Octopus Pig,57899.8,Video games
The Hobbit,Bilbo Baggins,134,Movies
Predator Franchise,Predator,220.98000000000002,Movies
Evangelion,Israfel ,11500,Video games
Sucker Punch,Babydoll,163,Movies
Dead By Daylight,Michael Myers Dead By Daylight,218.44000000000003,Video games
Final Fantasy,Titan,15000,Video games
Sucker Punch,Amber,165,Movies
Dead By Daylight,Michael (Dead By Daylight),218.44000000000003,Video games
Evangelion,Gaghiel ,180000,Video games
Final Fantasy,Tifa,167,Video games
Evangelion,Shamshel ,10500,Video games
SCP Foundation,SCP 096,237.8,Video games
Evangelion,Ramiel ,42400,Video games
Evangelion,Sahaquiel ,200000,Video games
Doki Doki Literature Club,Monika,160,Video games
Evangelion,Zeruel ,8000,Video games
Doki Doki Literature Club,Natsuki,150,Video games
Doki Doki Literature Club,Yuri,165,Video games
Evangelion,Zeruel ,8000,Video games
Ben 10,Heatblast,190,TV
Doki Doki Literature Club,Sayori,157,Video games
Doki Doki Literature Club,Natsuki,150,Video games
Ben 10,Four arms,321,TV
Evangelion,Third angel ,300,Video games
trevor henderson,wandering doom,57000,Comics
Evangelion,Seventh angel ,400000,Video games
Persona 5,Panther,162.56,Video games
trevor henderson,bird watcher,25000,Comics
trevor henderson,sky screamer,6500,Comics
trevor henderson,god of roadkill,500,Comics
South Park,Giant reptilian Bird ,5000,TV
trevor henderson,misty guest 2,2500,Comics
trevor henderson,behemoth,8000000,Comics
trevor henderson,light head,1190,Comics
trevor henderson,day 17/wandering faith (fixed),50000,Comics
Warhammer,Bloodletter,240,Video games
My Little Pony,Princess Celestia,267,TV
Hazbin Hotel,Mammon,241,TV
trevor henderson,misty guest 3,145000,Comics
trevor henderson,misty guest 1,5400,Video games
Hazbin Hotel,Satan,780,TV
Warhammer,Skarbrand,1000,Video games
Trevor henderson ,Behemoth (original),800000000,TV
The cuphead show,Cuphead ,105,TV
My Little Pony,Twilight Sparkle,165,TV
trevor henderson,giant pupetter ,3048,Comics
trevor henderson,hexapod giant ,6705.6,Comics
Minecraft,Enderman,294.64,Video games
Assassin's Creed,Verulo Gallo,204,Video games
Minecraft,Ender Dragon,500,Video games
trevor henderson,tree head,30480,Video games
trevor henderson,breaking news (fixed),38100,TV
Yakuza,Futoshi Shimano,195,Video games
Warhammer,Great Unclean One,3048,Video games
Yakuza ,Ryuji Goda,192,Video games
The Ignea Chronicles,King Adam,302,Comics
Outlast,Eddie Gluskin,239,Video games
Grand Theft Auto V,Lamar Davis,204,Video games
Batman Arkham Asylum,Killer Croc,335.28000000000003,Video games
The Ignea Chronicles,Hareira,220,Comics
The Ignea Chronicles,Garo,215,Comics
Ben 10,Wildmutt,137.1,TV
Ben 10,Upgrade,200,TV
The Ignea Chronicles,Queen Eve,253,Comics
The Ignea Chronicles,Yharim,225,Comics
The Ignea Chronicles,Aluxio,210,Comics
The Ignea Chronicles,Yharim,225,Comics
Ben 10,XLR8,152.4,TV
Ben 10,Alien X,211,TV
Ben 10,Grey Matter,15.2,TV
Ben 10,Diamond head,182.88,TV
The Ignea Chronicles,Usagi Miyamoto,185,Comics
The Ignea Chronicles,Imperius,248,Comics
The Ignea Chronicles,Corvian,236,Comics
Warhammer,Void Whale,1500000,Video games
Warhammer,Great Unclean One (Mountain),1020348.48,Video games
Warhammer 40K,Imperial War Titans,15000,Video games
Red Dead Redemtion,Micah Bell,184,Video games
Warhammer 40K,Tyranid Bio Titan,4000,Video games
Warhammer 40K,Krorks ,1200,Video games
Transformers,Metroplex,12000000,TV
Warhammer 40K,Warboss Ork,304.8,Video games
Red Dead Redemtion,Arthur Morgan,196,Video games
Red Dead Redemtion,Sadie Adler,172,Video games
Transformers,Metroplex,15000000,TV
The Ignea Chronicles,Dalys,185,Comics
The Ignea Chronicles,Queen Grenda,325,Comics
The Ignea Chronicles,King Raskan,420,Comics
Transformers,Grimlock,2150,TV
Warhammer,Arachaon the Everchosen,363.22,Video games
Warhammer,Kholek  Suneater,1020348.48,Video games
Warhammer 40K,Imperial Guard ,183,Video games
Lord of the Rings,Azog,216,Movies
Lord of the Rings,Thorin,162,Movies
Chickenhare,Hopper,107,Movies
Bioshock,Big Daddy,218.44000000000003,Video games
Shine's Verse,Shinehorn,609.6,Video games
Street Fighter,Ingrid,152,Video games
Garou Mark of the Wolves,Hotaru Futaba,156,Video games
Athena,Princess Athena,152,Video games
Darkstalkers,Morrigan Aensland,172,Video games
Street Fighter,Cammy,154,Video games
Samurai Shodown,Nakoruru,154.5,Video games
The King of Fighters,Whip,173,Video games
Street Fighter,Ibuki,162,Video games
The King of Fighters,Kula Diamond,169,Video games
Street Fighter,Juri Han,165,Video games
The King of Fighters,Shermie,173,Video games
The King of Fighters,Yuri Sakazaki,168,Video games
The King of Fighters,Athena Asamiya,163,Video games
The King of Fighters,Mai Shiranui,165,Video games
Warhammer 40K,Emperor of Mankind,430,Video games
Lord of the Rings,Ghûl Matron,274.32,Comics
Lord of the Rings,Olog-Graug,457,Movies
Warhammer 40K,Thunder Warrior,249,Video games
Lord of the Rings,Great Beast,1066.8,Video games
Lord of the Rings, Horned Graug,609.6,Comics
Warhammer 40K,Rogal Dorn,305,Video games
Warhammer 40K,Custodes,279,Video games
Lord of the Rings,Legendary Graug,914.4,Movies
Warhammer 40K,Vulkan,349,Video games
The Ignea Chronicles,Arcticard,232,Comics
The Ignea Chronicles,Indra,221,Comics
The Ignea Chronicles,Quicklight,198,Comics
Popeye ,Georgie the Giant,6500,Comics
Where’s Waldo 2019,Wizard Featherbeard,180,TV
captain crunh,captain crunch,165.1,TV
Ben 10,Cannonbolt,190,TV
monster cereals,count chocula,228.60000000000002,TV
Ben 10,Kevin 11,243.84,TV
Warhammer 40K,Ogryns,304.8,Video games
Ben 10,Wildvine,195,TV
Ben 10,Humungousaur,365.76,TV
Space Dogs Family,Chewy,35,TV
Little Nightmares,Six,25.4,Video games
Star Wars,Darth Maul,175,Movies
Star Wars,Boba Fett,191.2,Movies
Star Wars,Darth Sidious,178,Movies
Lady bug and super cat,Lady Bag,165,Movies
Star Wars,Jar Jar Binks,196,Movies
Star Wars,Yoda,66,Movies
Overwatch,D.va,167.64000000000001,Video games
SCP Foundation,SCP-2863,3000,Video games
SCP Foundation,SCP-1128,1767.84,Video games
SCP Foundation,SCP-2256,100000,Video games
Teenagers Mutant Ninja Turtles,Donatello (1987),167,TV
Teenagers Mutant Ninja Turtles,Leonardo (1987),155,TV
Teenagers Mutant Ninja Turtles,Raphael (1987),155,TV
SCP Foundation,SCP-2146 the space whale ,69634000000,Video games
SCP Foundation,SCP-4158,340,Video games
SCP Foundation,SCP-093,762,Video games
SCP Foundation,SCP-3000,90000000,Video games
Ben10,Ben10,145,TV
We Happy Few,Sally Boyle,165,Video games
Vocaloid,Hatsune Miku,158,Video games
We Happy Few,Bobby,218.44000000000003,Video games
We Happy Few,Arthur Hastings,187.96,Video games
Ben10,Gwen,148,TV
winnie the pooh,eeyore,18,TV
We Happy Few,Ollie Starkey,172,Video games
We Happy Few,Joy Doctor,218.44000000000003,Video games
Titans Go!,Blackfire,180.34,TV
Masha and the Bear ,Masha ,60,TV
Peter Pan,Captain Hook,214,Movies
Titans Go!,Startfire,193.04,TV
Titans Go!,Robin,162.56,TV
Saludos Amigos,jose carioca,111.75999999999999,Movies
Titans Go!,Beast boy,152.4,TV
Titans Go!,Jinx,175.26,TV
Titans Go!,Raven,162.56,TV
bears,Foxed ,129.54,TV
Fixies.,Simka,3,TV
teenage robot.,XJ9,198.12,TV
Titans Go!,Cyborg,182.88,TV
teenage robot.,Jenny - XJ9,198.12,TV
Barboskins ,Lisa,154,TV
Bird Alone,Mango,30.48,Video games
Godzilla final wars 2004,Gigan (2004-modified),12000,Movies
Godzilla vs Gigan ,Gigan (1972),6500,Movies
Godzilla ,Destoroyah,12000,Movies
Minecraft,Wither,350.52000000000004,Video games
Godzilla vs Megalon,Gigan (1973),6500,Movies
Godzilla final wars 2004,Gigan (2004-active),12000,Movies
Godzilla ,Spacegodzilla ,12800,Movies
Poppy Playtime,Bunzo Bunny,152.4,Video games
Howl’s moving castle ,Howl’s moving castle ,5600,Comics
Godzilla ,Spacegodzilla ,12800,Movies
Pokémon Sword & Shield,Nessa,175.26,Video games
Sonic the Hedgehog,Shadow the Hedgehog,100,Video games
Legend of Zelda,Ganondorf,230,Video games
F-Zero,Captain Falcon,203.2,Video games
Zorro,Zorro,174,Movies
Diablo,Belial ,429.26000000000005,Video games
Diablo,Mephisto ,510.54,Video games
Diablo,Azmodan,878.84,Video games
Diablo,Barbarian ,256.54,Video games
Diablo,Diablo,911.86,Video games
Diablo,Andariel ,586.74,Video games
Diablo,Tyrael ,274.32,Video games
Diablo,Duriel ,619.76,Video games
Diablo,Imperius,335.28000000000003,Video games
Diablo,Sheablo ,911.86,Video games
The Ignea Chronicles,Mayoga,590,Comics
Avatar: The last airbender,Aang,137.16,TV
The Legend of Korra,Aang (Adult),190,TV
Alto’s adventure ,Alto,167.64000000000001,Video games
Alto’s odyssey ,Paz ,160.02,Video games
Fixies ,Spool.,4.7,Movies
Fixies ,Verta,3.7,Movies
John Wick Franchise,John Wick,186,Movies
The Dragon Prince,Viren,187.96,TV
devil may cry 5,Vergil,193,Video games
Fixies ,CAST,40,Movies
X-Men: Days of Future Past,Sentinels,1525,Movies
Fantastic Four(2015),The Thing(Fantastic four),226.3,Movies
The Incredible Hulk,Abomination,305.5,Movies
x-men days of future past,Sentinels M-2,548.2,Movies
x-men days of future past,Sentinels Mk-x,609.6,TV
Resident Evil,Ashley Graham,167.2,Video games
Resident Evil,Jake Muller,190.5,Video games
Resident Evil,Rebecca Chambers,161.3,Video games
Resident Evil,Jill Valentine,166,Video games
Batman vs Superman ,Doomsday,503,Movies
Resident Evil,Ada Wong,170.5,Video games
Resident Evil,Jack Krauser,188.1,Video games
Venom: Let There Be Carnage,Carnage,255,Movies
Resident Evil,Barry Burton,186.2,Video games
Resident Evil,Sergei Vladimir,202.3,Video games
Venom,Venom ,230.5,Movies
Resident Evil,Billy Coen,181.5,Video games
Resident Evil,Claire Redfield,170,Video games
Resident Evil,Nikolai Zinoviev,187.5,Video games
Fist of the North Star,Nameless Shura,195.6,TV
Resident Evil,Raymond Vester,186.5,Video games
Fist of the North Star,Souther,188.9,TV
Fist of the North Star,Bat,175.7,TV
Fist of the North Star,Club,192.5,TV
Fist of the North Star,Outlaw,203.6,TV
Fist of the North Star,Bolge,199.3,TV
Fist of the North Star,Huey,181.7,TV
Fist of the North Star,Uighur,375.5,TV
Resident Evil,Alexia Ashford,175.7,Video games
Resident Evil 2 Remake,Brian Irons,167,Video games
Fist of the North Star,Diamond,207.5,TV
Fist of the North Star,Shu,181.7,TV
Resident Evil,Moira Burton,165.5,Video games
Resident Evil,Excella Gionne,175.6,Video games
Fist of the North Star,Toki,188.6,TV
Resident Evil,Alice,173.5,Movies
Fist of the North Star,Raoh v.1,213.5,TV
Fist of the North Star,Kensiro,185.8,TV
Fist of the North Star,Kaioh,220.6,TV
Fist of the North Star,Keiser,199.4,TV
Fist of the North Star,Raoh v2,213.5,TV
Fist of the North Star,Shin,183.5,TV
Fist of the North Star,Mamiya,170.6,TV
Fist of the North Star,Colonel,177.8,TV
Fist of the North Star,Han,187.7,TV
Fist of the North Star,Jagi,180.6,TV
Resident Evil,Sherry Birkin,165.3,Video games
Fist of the North Star,Rihaku,198.5,TV
Resident Evil,Brad Vickers,176,Video games
Resident Evil,Annette Birkin,169.5,Video games
Fist of the North Star,Yuria,168.5,TV
Fist of the North Star,Juza,186.6,TV
Fist of the North Star,Kiba Daioh,562.5,TV
Resident Evil,Sheva Alomar,165.8,Video games
Resident Evil,Ethan Winters,180.6,Video games
Fist of the North Star,Shuren,182.7,TV
Fist of the North Star,Heart,223.5,TV
Fist of the North Star,Fudoh,230.5,TV
Fist of the North Star,Lin,167.5,TV
Resident Evil,Alex_Wesker,177.2,Video games
Fist of the North Star,Jackal,195.6,TV
Fist of the North Star,Ryuken,178.6,TV
Fist of the North Star,Gades,255.2,TV
Fist of the North Star,Yuda,183.5,TV
Fist of the North Star,Shachi,187.5,TV
Fist of the North Star,Alf of the Hourglass,225.5,TV
Resident Evil,Adam Benford,180.5,Video games
Fist of the North Star,Bask,187.2,TV
Fist of the North Star,Airi,168.3,TV
Resident Evil,Mikhail Viktor,178.3,Video games
Fist of the North Star,Devil Rebirth,751.5,TV
Fist of the North Star,Royga ,186.7,TV
Resident Evil,Derek C. Simmons,187.6,Video games
Fist of the North Star,Amiba,183.8,TV
Fist of the North Star,Spade,188.4,TV
Resident Evil,Mia Winters,170.3,Video games
Fist of the North Star,Zeed,211.6,TV
Fist of the North Star,Hyoh,204.5,TV
Fist of the North Star,Falco,209.6,TV
Fist of the North Star,Kokuoh,330,TV
Fist of the North Star,Rey,185.5,TV
Zootopia ,Judy Hopps ,60.96,Movies
Ice Age,Manny,657.86,Movies
Muscle Idol,Derek (Smallest),182.88,Comics
D&D ,TIAMAT ,10493,Video games
How to train your dragon,Hiccup ,185.42,Movies
fabulous patrol.,Alebka,159,Movies
The hobbit,Smaug,9862,TV
Lord of the Rings,Frodo,131,TV
The hobbit,Thorin,148,TV
The hobbit,Bilbo baggins,134,TV
The return of the king,Samwise,133,TV
Transformers,Shockwave,1066.8,Movies
Transformers,Grindor,1033.7,Movies
Transformers,Sentinel-prime,970,Movies
Transformers,Bumblebee,533.5,Movies
Transformers,Long Haul ,1035,Movies
Transformers,Jetfire,1220,Movies
Transformers,Galvatron,914.4,Movies
Transformers,Berserker,875,Movies
Transformers,Scorn,2651,Movies
Transformers,Demolishor,2255,Movies
Transformers,Sideswipe,475,Movies
Transformers,The Fallen,1250,Movies
Transformers,Slug,2164,Movies
Transformers,Devistator,3139,Movies
Transformers,Grimlock,2438.8,Movies
Transformers,Tarn,765,TV
Transformers,Starscream,980,Movies
Transformers,Motormaster,623.2,Movies
Doom,Pinky,230.1,Video games
Doom,Davoth,330,Video games
Doom,Khan Maykr,600.1,Video games
Doom,Mancubus,390.1,Video games
Doom,Dread Knight,291,Video games
Doom,DoomSlayer v2,213.36,Video games
Doom,Cyberdemon v2,915.5,Video games
Doom,Arch-Vile,320.6,Video games
Doom,Unwilling,160.3,Video games
Doom,Tyrant_Eternal,500.6,Video games
Doom,Titan Eternal,11000,Video games
Doom,Doom Hunter,410.8,Video games
Doom,DoomSlayerrr,213.36,Video games
Doom,Possesed Soldier,183.6,Video games
Doom,Olivia Pierce,160.5,Video games
Doom,Spider Mastermind,863,Video games
Doom,Revenant,350.5,Video games
Doom,Pain Elemental,350.7,Video games
Doom,Harvester,340.3,Video games
Doom,Marauder,190.6,Video games
Doom,Imp,200.1,Video games
Doom,Carcass,185.5,Video games
Doom,Hell Guard,401.1,Video games
Doom,Betrayer,186,Video games
Doom,Doom Soldier,217.7,Video games
Doom,Hell Knight,300.5,Video games
Doom,Cacodemon,360.6,Video games
Doom,Samuel  Hayden,290.1,Video games
Doom,Cyberdemon V3,727.5,Video games
Doom,Gargyole,150.5,Video games
Serious Sam,Ugh-Zan-3,10058.4,Video games
Doom,Soldier_Eternal,185.5,Video games
Doom,Arachnotron,345.2,Video games
spirited away,yubaba,182.88,TV
Doom,Hell Razer,180.3,Video games
Doom,Dark Lord,191,Video games
Doom,Prowler_eternal,280.7,Video games
Doom,Baron of Hell v1,300,Video games
Doom,Baron of Hell,451,Video games
Doom,Baron of Hell_Eternal,451,Video games
Doom,Icon of Sin,8001,Video games
Doom,Gladiator,450.2,Video games
Serious Sam,Ugh-Zan-4,7753.5,Video games
spirited away,Chihiro Ogino,137.16,TV
Doom,Artur ,186,Video games
Doom,Summoner,295.5,Video games
Doom,Lost Soul,50.5,Video games
CHUCHEL,Chuchel,5,Video games
Crash Bandicoot,Nina Cortex,150,Video games
CHUCHEL,Chrchel,100,Video games
Steven Universe,Pearl,170,TV
Steven Universe Future,Steven Universe (16),167.64000000000001,TV
Among Us,Crewmate,106.67999999999999,Video games
Flushed Away,Serta Sheep,50.1,TV
Lilo And Stitch,Stitch,91.44,Movies
Steven Universe,Amethyst,140,TV
Flushed Away,Roddy St. James,70.1,TV
Steven Universe,Garnet,190,TV
The Angry Birds Movie,Red (Angry Birds Movie),93.98,Movies
Star Wars,Obi-Wan Kenobi,182.4,Movies
Pokémon Sword/Sheild,Leon,180.34,Video games
Ice age,Eddie,256.54,Movies
Walking Dead,Daryl Dixon,178,TV
Poppy Playtime,Kissy Missy ,520.1,Video games
Ice age,Zeke,102,Movies
Flushed Away,Toad,95.1,TV
Godzilla,Mothra 2019 (Legendary),1584.96,Movies
Star Wars,Anakin Skywalker,188,Movies
Ice age,Crash,24,Movies
Ice age,Buck,42,Movies
The Little Yellow Orca,The Little Yellow Orca,74.1,TV
Ben 10 ,Ben Tennyson ,172.72,TV
Fixies ,Nolic ,1,Movies
Super family ,Violet Parr (costume),162.56,Movies
Ice age,Sid the sloth,335.28000000000003,Movies
Ice age,Scrat,106.67999999999999,Movies
Avatar,Jake Sully,304.8,Movies
Ice age,Diego,128,Movies
Flushed Away,Sheep with Braces,49.1,TV
Super family ,Violet Parr ,160.02,Movies
Ice age,Egbert,136,Movies
Star Wars,Qui-Gon Jinn,193,Movies
Monsters vs. Aliens,Insectosaurus,10668,Movies
Ponyo and Eanal,Ponyo,30.2,TV
Clash of Clans ,Barbarian,160,Video games
Attack on Titan,Wall Maria,5000,TV
Flushed Away,Sid,63.1,TV
clash royale,ballon,710,Video games
The Legend Of Zelda,Link,178,Video games
Persona 5,Joker,175,Video games
Mortal Kombat,Kano,185,Video games
The Angry Birds Movie,Leonard,160.02,Movies
Power Rangers,Megazord,4100,TV
Marvel,Iron Man,198.12,Movies
Avatar,AMP,487.68,Movies
Monsters vs. Aliens,Gallaxhar’s Probe,12192,Movies
"Do,Re & Mi",Mi,104.14,TV
DC,King Shark,218.44000000000003,Comics
Iron Giant,The Iron Giant,3062,Movies
Dragon Age,Elven_01,160,Video games
Transformers,Ironhide,670.5600000000001,Movies
"The Beast from 20,000 Fathoms",Rhedosaurus,1828.8,Movies
Godzilla,Pulgasari ,6800,Movies
Transformers,Ratchet,609.6,Movies
Godzilla (2014),MUTO (Male),6096,Movies
Bayverse,Jazz,426.72,Movies
Cuphead,King Dice,182.88,Video games
Godzilla (2014),MUTO (Female),9144,Movies
Godzilla,Yongary,5500,Movies
Jason and the Argonauts,Talos,7010.400000000001,Movies
Godzilla Singular Point,Godzilla Ultima V2,10000,TV
Dead By Daylight,Spirit,160.02,Video games
Godzilla,Titanus Behemoth,10789.92,Movies
Godzilla Singular Point,Godzilla Ultima V1,4500,TV
The Last Knight,Megatron,914.4,Movies
Godzilla: Aftershock,MUTO Prime,10363.2,Comics
Godzilla,Queen MUTO,9448.8,Movies
Pacific Rim,Leatherback,8138.16,Movies
Godzilla: Planet of the Monsters,Godzilla Filius,5000,Movies
Ghostbusters,Stay Puft Marshmallow Man,3426.46,Movies
Monsters vs Aliens ,Susan Murphy (ginormica),1549,Movies
Pacific Rim,Mutavore,8991.6,Movies
Genshin Impact,Albedo,173,Video games
Pacific Rim,Gipsy Danger,7924.8,Movies
Street Fighter,Gill,208.28,Video games
God of War,Hercules,313,Video games
DC Comics,Swamp Thing,238,Comics
Cartoon Network,Johnny Bravo,230,TV
Pacific Rim,Otachi,6309.36,Movies
Street Fighter,Gill,208.28,Video games
Mortal Kombat,Baraka,182,Video games
Monsters vs. Aliens,Ginormica,1521.46,Movies
Pacific Rim,Slattern,18166.08,Movies
Alphabet lore,Qu,180,TV
Pacific Rim,Knifehead,9601.2,Movies
Godzilla,Megalon,5500,Movies
Bully,Russell Northrop,195,Video games
King Kong (2005),Venatosaurus,450,Movies
Halo,Arbiter,239,Video games
Star Wars,Rancor,500,Movies
Godzilla,Orga,6000,Movies
Godzilla,Titanosaurus,6000,Movies
Halo,Librarian,290,Video games
Halo,Didact,345,Video games
Bully,Jimmy Hopkins ,168,Video games
The 7th Voyage of Sinbad,Cyclops,609.6,Movies
King Kong (1933),King Kong (1933),1500,Movies
Godzilla,Hedorah,6000,Movies
King Kong (2005),Foetodon,152.4,Movies
King Kong (2005),Ferrucutus,609.6,Movies
King Kong (2005),Vastatosaurus Rex,690,Movies
Gamera,Gamera Showa (1965-1980),6000,Movies
Godzilla,Gorosaurus,3500,Movies
The Valley of Gwangi,Gwangi,426.72,Movies
Mortal Kombat,Cyrax,190.5,Video games
How to Train Your Dragon 2,Bewilderbeast,16005,Movies
How to Train Your Dragon,Red Death,3900,Movies
Halo,Jorge 052,244,Video games
Halo,Tartarus,276,Video games
Halo,Katherine Halsey,170,Video games
Halo,Warden Eternal,510,Video games
Halo,Miranda Keyes,178,Video games
Halo,Jacob Keyes,192,Video games
Space Amoeba,Gezora,3000,Movies
Mighty Joe Young,Mighty Joe Young,456,Movies
Gamera,Zigra,8000,Movies
Magic School Bus,Dorothy Anne,139.7,TV
Creature from the Black Lagoon,Gill-man,195.57999999999998,Movies
The Mist,Behemoth,7315.2,Movies
Clash of the Titans (1981),Kraken,1524,Movies
20 Million Miles to Earth,Ymir,609.6,Movies
Codename: Kids Next Door,Numbuh 5,142.24,TV
Godzilla,Jet Jaguar,5000,Movies
Godzilla,Baragon (GMK),3000,Movies
Godzilla,Mothra Showa (1961-1968),13500,Movies
The Punisher,The Punisher,191,Comics
Godzilla,King Caesar (2004),10000,Movies
Godzilla,Rodan (Legendary),4693.92,Movies
Godzilla,Mothra Heisei (1992-1996),12009.12,Movies
Godzilla,Baragon (1965),2500,Movies
Joker (2019),Joker (Arthur Fleck),172.7,Movies
Godzilla,Rodan (1993),7000,Movies
Godzilla,King Caesar (1974),5000,Movies
Godzilla,King Ghidorah (GMK),5000,Movies
Godzilla,Battra,18000,Movies
Trollhunter,Jotnar,6100,Movies
Star Wars,Star Destroyer,160000,Movies
Godzilla,Biollante,12000,Movies
The Batman (2022),The Batman (2022),190,Movies
Super Mario Bros.,Hell Valley Sky Tree's,3563.7,Video games
Godzilla,Methuselah,9814.56,Movies
Avengers: Age Of Ultron,Ultron (MCU),231.1,Movies
Godzilla,Megaguirus,5000,Movies
Godzilla,Scylla,10393.68,Movies
Godzilla,Mothra (2004),7193.28,Movies
Godzilla,Rodan (2004),10000,Movies
American Psycho (2000),Patrick Bateman,183,Movies
The Punisher ,The Punisher (MCU),180.3,TV
The Batman (2022),Catwoman (2022),157,Movies
Spawn,Spawn ,231,Comics
The Avengers #54,Ultron,183,Comics
The Batman (2022),The Riddler (2022),184.2,Movies
Godzilla,Mechagodzilla (Heisei),12000,Movies
The Dark Knight (2008),The Joker (2008),185.42,Movies
Godzilla,Mechagodzilla (Showa),5000,Movies
Godzilla,Mechagodzilla (Millennium),6000,Movies
Gorgo,Gorgo,1981.2,Movies
