Category,Name,Height,Pro1,pro2
170719,R. Knoche,190.5,DE,VfL Wolfsburg,110975
170719,O. Vlachodimos,187.96,GR,SL Benfica,110975
170719,J. Denayer,182.88,BE,Olympique Lyonnais,110975
170719,S. Rode,177.8,DE,Borussia Dortmund,110975
170719,Wendel,180.34,BR,Sporting CP,110975
170719,A. Nagy,177.8,HU,Bologna,110975
170719,Alfa Semedo,187.96,GW,SL Benfica,110975
170719,A. Barnes,185.42,AT,Burnley,110975
170719,Alan Kardec,185.42,BR,Chongqing Dangdai Lifan FC SWM Team,110975
170719,Marcelo,182.88,BR,Sporting CP,110975
170719,E. Boateng,175.26,GH,Levante UD,110975
170719,Dalbert,180.34,BR,Inter,110975
170719,A. Halilović,170.18,HR,Milan,110975
170719,I. Popov,182.88,BG,Spartak Moscow,110975
170719,T. Cleverley,175.26,GB,Watford,110975
170719,M. Livaja,182.88,HR,AEK Athens,110975
170719,M. Uribe,182.88,CO,Club América,110975
170719,P. Bargfrede,175.26,DE,SV Werder Bremen,110975
170719,J. Jankto,180.34,CZ,Sampdoria,110975
170719,Junior Firpo,182.88,ES,Real Betis,110975
170719,D. D'Ambrosio,180.34,IT,Inter,110975
170719,D. Boyko,193.04,UA,Dynamo Kyiv,110975
170719,M. Díaz,165.1,CL,Racing Club,110975
170719,S. Vokes,187.96,gb-wls,Burnley,110975
170719,Héldon,175.26,CV,Al Taawoun,110975
170719,Mario Hermoso,182.88,ES,RCD Espanyol,110975
170719,F. Bartels,175.26,DE,SV Werder Bremen,110975
170719,K. Malcuit,177.8,FR,Napoli,110975
170719,R. Marin,175.26,RO,Standard de Liège,110975
170719,Ayoze Pérez,177.8,ES,Newcastle United,110975
170719,Júnior Moraes,175.26,BR,Shakhtar Donetsk,110975
170719,V. Berisha,175.26,XK,Lazio,110975
170719,R. Freuler,180.34,CH,Atalanta,110975
170719,Ganso,182.88,BR,Amiens SC,110975
170719,Vicente Gómez,187.96,ES,Deportivo de La Coruña,110975
170719,M. Pašalić,187.96,HR,Atalanta,110975
170719,Vitor Hugo,187.96,BR,Fiorentina,110975
170719,B. Fornaroli,175.26,UY,Melbourne City FC,110975
170719,R. Snodgrass,182.88,gb-sct,West Ham United,110975
170719,Francisco Geraldes,170.18,PT,Eintracht Frankfurt,110975
170719,I. Ordets,193.04,UA,Shakhtar Donetsk,110975
170719,D. Santon,187.96,IT,Roma,110975
170719,M. Niang,182.88,SN,Stade Rennais FC,110975
170719,O. Wendt,180.34,SE,Borussia Mönchengladbach,110975
170719,C. Riveros,177.8,PY,,110975
170719,F. Benković,193.04,HR,Celtic,110975
170719,M. Torres,170.18,CO,Deportivo Cali,110975
170719,M. Noble,177.8,GB,West Ham United,110975
170719,M. Rashica,177.8,XK,SV Werder Bremen,110975
170719,C. Benteke,190.5,BE,Crystal Palace,110975
170719,Rômulo,177.8,IT,Genoa,110975
170719,D. Pabón,167.64,CO,Monterrey,110975
170719,Embarba,172.72,ES,Rayo Vallecano,110975
170719,C. Kerbrat,185.42,FR,En Avant de Guingamp,110975
170719,L. Teodorczyk,187.96,PL,Udinese,110975
170719,Alexo Baia,175.26,BR,Cruzeiro,110975
170719,David Seijalbo,175.26,BR,Cruzeiro,110975
170719,N. Nández,172.72,UY,Boca Juniors,110975
170719,L. Rupp,177.8,DE,TSG 1899 Hoffenheim,110975
170719,Jordi Amat,185.42,ES,Rayo Vallecano,110975
170719,W. Caballero,185.42,AR,Chelsea,110975
170719,F. Di Francesco,170.18,IT,Sassuolo,110975
170719,O. El Kaddouri,185.42,MA,PAOK,110975
170719,T. Rogić,187.96,AU,Celtic,110975
170719,G. Töre,175.26,TR,Beşiktaş JK,110975
170719,M. Destro,177.8,IT,Bologna,110975
170719,Josué,175.26,PT,Akhisar Belediyespor,110975
170719,A. Bizzarri,187.96,AR,Foggia,110975
170719,Ki Sung Yueng,187.96,KR,Newcastle United,110975
170719,H. Onyekuru,175.26,NG,Galatasaray SK,110975
170719,N. Pépé,182.88,CI,LOSC Lille,110975
170719,Matheus Pereira,175.26,BR,1. FC Nürnberg,110975
170719,Y. Salibur,177.8,FR,AS Saint-Étienne,110975
170719,E. Vargas,175.26,CL,Tigres U.A.N.L.,110975
170719,L. Magallán,185.42,AR,Boca Juniors,110975
170719,Danny,177.8,PT,Clube Sport Marítimo,110975
170719,C. Hérelle,187.96,FR,OGC Nice,110975
170719,E. Mangala,187.96,FR,Manchester City,110975
170719,O. Selnæs,187.96,NO,AS Saint-Étienne,110975
170719,Víctor Vázquez,175.26,ES,Toronto FC,110975
170719,Diego Mariño,187.96,ES,Real Sporting de Gijón,110975
170719,Carles Planas,172.72,ES,Girona FC,110975
170719,G. Fernández,177.8,AR,Racing Club,110975
170719,Soldado,180.34,ES,Fenerbahçe SK,110975
170719,A. Ekdal,185.42,SE,Sampdoria,110975
170719,Gedson Fernandes,180.34,PT,SL Benfica,110975
170719,M. Darmian,182.88,IT,Manchester United,110975
170719,N. Chalobah,185.42,GB,Watford,110975
170719,R. Pizarro,172.72,MX,Monterrey,110975
170719,André Simões,177.8,PT,AEK Athens,110975
170719,S. Tshabalala,170.18,ZA,BB Erzurumspor,110975
170719,L. Rossettini,187.96,IT,Chievo Verona,110975
170719,F. Viviani,180.34,IT,SPAL,110975
170719,M. de Roon,185.42,NL,Atalanta,110975
170719,Rubén Duarte,180.34,ES,Deportivo Alavés,110975
170719,Y. Ōsako,182.88,JP,SV Werder Bremen,110975
170719,Gil,193.04,BR,Shandong Luneng TaiShan FC,110975
170719,A. Ruiz,182.88,AR,Club Atlético Colón,110975
170719,P. van Aanholt,175.26,NL,Crystal Palace,110975
170719,S. Meïté,187.96,FR,Torino,110975
170719,K. Dolberg,187.96,DK,Ajax,110975
170719,Juli Freitinho,193.04,BR,Bahia,110975
170719,L. Vietto,172.72,AR,Fulham,110975
170719,A. Izzo,182.88,IT,Torino,110975
170719,A. Paloschi,182.88,IT,SPAL,110975
170719,G. Gönül,175.26,TR,Beşiktaş JK,110975
170719,Llorente,193.04,ES,Tottenham Hotspur,110975
170719,J. Morel,175.26,MG,Olympique Lyonnais,110975
170719,G. Kakuta,172.72,cg,Rayo Vallecano,110975
170719,João Pedro,182.88,BR,Cagliari,110975
170719,S. García,190.5,AR,Deportivo Toluca,110975
170719,Eltildo Correia,187.96,BR,Atlético Mineiro,110975
170719,Kenedy,182.88,BR,Newcastle United,110975
170719,M. Moralez,157.48,AR,New York City FC,110975
170719,N. Vukčević,182.88,ME,Levante UD,110975
170719,F. Borini,180.34,IT,Milan,110975
170719,I. Sarr,185.42,SN,Stade Rennais FC,110975
170719,C. Clark,185.42,IE,Newcastle United,110975
170719,Mata,187.96,ES,Getafe CF,110975
170719,M. Albrighton,175.26,GB,Leicester City,110975
170719,A. Gray,180.34,GB,Watford,110975
170719,F. Guarín,182.88,CO,Shanghai Greenland Shenhua FC,110975
170719,Yoel,185.42,ES,Real Valladolid CF,110975
170719,J. Cuadrado,180.34,CO,Once Caldas,110975
170719,S. Widmer,182.88,CH,FC Basel 1893,110975
170719,B. Dzsudzsák,177.8,HU,,110975
170719,P. Mantalos,175.26,GR,AEK Athens,110975
170719,S. Proto,182.88,BE,Lazio,110975
170719,A. Mehmedi,182.88,CH,VfL Wolfsburg,110975
170719,Pablo,187.96,BR,FC Girondins de Bordeaux,110975
170719,I. Slimani,187.96,DZ,Fenerbahçe SK,110975
170719,C. Erkin,180.34,TR,Beşiktaş JK,110975
170719,D. Chygrynskyi,187.96,UA,AEK Athens,110975
170719,Beto,182.88,PT,Göztepe SK,110975
170719,A. Samaris,187.96,GR,SL Benfica,110975
211302,G. Lapadula,177.8,PE,Cagliari,1842
211302,Dênildo Stein,180.34,BR,Cruzeiro,1842
211302,S. Padt,198.12,NL,FC Groningen,1842
211302,S. Taïder,180.34,DZ,Montreal Impact,1842
211302,F. Klaus,180.34,DE,VfL Wolfsburg,1842
211302,H. Nordtveit,187.96,NO,TSG 1899 Hoffenheim,1842
211302,L. Zuffi,180.34,CH,FC Basel 1893,1842
211302,Emilio Piodão,177.8,BR,Bahia,1842
211302,S. Zuber,182.88,CH,TSG 1899 Hoffenheim,1842
211302,J. Palomino,187.96,AR,Atalanta,1842
211302,Y. Mutō,177.8,JP,Newcastle United,1842
211302,J. Altidore,182.88,US,Toronto FC,1842
211302,M. Barbosa,187.96,AR,Villarreal CF,1842
211302,G. Laborde,180.34,FR,Montpellier HSC,1842
211302,P. Baysse,182.88,FR,Stade Malherbe Caen,1842
211302,Eric Botteghin,190.5,BR,Feyenoord,1842
211302,Iván Alejo,182.88,ES,Getafe CF,1842
211302,S. Blanco,167.64,AR,Portland Timbers,1842
211302,Thiago Mendes,177.8,BR,LOSC Lille,1842
211302,D. Brosinski,177.8,DE,1. FSV Mainz 05,1842
211302,T. Monconduit,182.88,FR,Amiens SC,1842
211302,Andrés Fernández,187.96,ES,Villarreal CF,1842
211302,Eraso,180.34,ES,CD Leganés,1842
211302,S. Hanni,177.8,DZ,Spartak Moscow,1842
211302,M. Konaté,182.88,SN,Amiens SC,1842
211302,C. Théréau,187.96,FR,Fiorentina,1842
211302,A. Donatti,193.04,AR,Racing Club,1842
211302,T. Jedvaj,182.88,HR,Bayer 04 Leverkusen,1842
211302,Pedro Henrique,190.5,BR,Vitória Guimarães,1842
211302,J. Briand,180.34,FR,FC Girondins de Bordeaux,1842
211302,F. Lustenberger,180.34,CH,Hertha BSC,1842
211302,J. Ayew,182.88,GH,Crystal Palace,1842
211302,S. Sanogo,182.88,CI,BSC Young Boys,1842
211302,R. Thomas,193.04,FR,Angers SCO,1842
211302,Rafael Cachoira,187.96,BR,Paraná,1842
211302,N. Sansone,175.26,IT,Villarreal CF,1842
211302,E. Bičakčić,185.42,BA,TSG 1899 Hoffenheim,1842
211302,J. Veltman,182.88,NL,Ajax,1842
211302,A. Knockaert,172.72,FR,Brighton & Hove Albion,1842
211302,Douglas Santos,175.26,BR,Hamburger SV,1842
211302,S. Bocchetti,185.42,IT,Spartak Moscow,1842
211302,M. Dembélé,182.88,FR,Olympique Lyonnais,1842
211302,E. Valencia,177.8,EC,Tigres U.A.N.L.,1842
211302,F. Mollet,170.18,FR,Montpellier HSC,1842
211302,D. Dumfries,187.96,NL,PSV,1842
211302,Koo Ja Cheol,182.88,KR,FC Augsburg,1842
211302,A. Petagna,190.5,IT,SPAL,1842
211302,De Tomás,180.34,ES,Rayo Vallecano,1842
211302,E. Balanta,180.34,CO,FC Basel 1893,1842
211302,T. Koubek,198.12,CZ,Stade Rennais FC,1842
211302,J. Allen,167.64,gb-wls,Stoke City,1842
211302,Alan Carvalho,182.88,BR,Guangzhou Evergrande Taobao FC,1842
211302,S. Ristovski,180.34,MK,Sporting CP,1842
211302,Maicón,182.88,BR,Antalyaspor,1842
211302,D. Quintero,165.1,CO,Minnesota United FC,1842
211302,P. Højbjerg,185.42,DK,Southampton,1842
211302,I. Santini,187.96,HR,RSC Anderlecht,1842
211302,Vieirinha,172.72,PT,PAOK,1842
211302,M. Boselli,185.42,AR,Club León,1842
211302,L. Antonelli,182.88,IT,Empoli,1842
211302,B. Embolo,185.42,CH,FC Schalke 04,1842
211302,V. Eysseric,180.34,FR,Fiorentina,1842
211302,C. Salcedo,185.42,MX,Eintracht Frankfurt,1842
211302,A. Ranocchia,195.58,IT,Inter,1842
211302,L. Unnerstall,198.12,DE,VVV-Venlo,1842
211302,T. Baumgartl,190.5,DE,VfB Stuttgart,1842
211302,F. Bustos,167.64,AR,Independiente,1842
211302,P. Jansson,195.58,SE,Leeds United,1842
211302,W. Vainqueur,177.8,FR,Antalyaspor,1842
211302,S. Kverkvelia,195.58,GE,Lokomotiv Moscow,1842
211302,Rubén Blanco,187.96,ES,RC Celta,1842
211302,P. Aguilar,180.34,PY,Cruz Azul,1842
211302,A. Ndiaye Diedhiou,172.72,SN,Getafe CF,1842
211302,Rafinha,172.72,BR,FC Bayern München,1842
211302,D. Limberský,180.34,CZ,Viktoria Plzeň,1842
211302,G. Cabral,182.88,AR,RC Celta,1842
211302,J. De Guzmán,175.26,NL,Eintracht Frankfurt,1842
211302,S. Terodde,193.04,DE,1. FC Köln,1842
211302,J. Fernandes,182.88,CL,Alanyaspor,1842
211302,Kiko Femenía,175.26,ES,Watford,1842
211302,Recio,182.88,ES,CD Leganés,1842
211302,A. Samedov,177.8,RU,Spartak Moscow,1842
211302,A. Smith,180.34,GB,Bournemouth,1842
211302,Maurício,180.34,BR,PAOK,1842
211302,D. Stephens,185.42,GB,Brighton & Hove Albion,1842
211302,Miguel Lopes,182.88,PT,Akhisar Belediyespor,1842
211302,I. Belfodil,190.5,DZ,TSG 1899 Hoffenheim,1842
211302,J. Campbell,177.8,CR,Frosinone,1842
211302,Marc Roca,182.88,ES,RCD Espanyol,1842
211302,M. Veljković,182.88,RS,SV Werder Bremen,1842
211302,J. Willems,177.8,NL,Eintracht Frankfurt,1842
211302,A. Lennon,165.1,GB,Burnley,1842
211302,F. Forster,200.66,GB,Southampton,1842
211302,Júnior Caiçara,172.72,BR,Medipol Başakşehir FK,1842
211302,C. Biraghi,185.42,IT,Fiorentina,1842
211302,Aritz Elustondo,180.34,ES,Real Sociedad,1842
211302,Fred Aníbão,193.04,BR,Atlético Paranaense,1842
211302,O. Romero,175.26,PY,Shanghai Greenland Shenhua FC,1842
211302,Nelsildo Reis,190.5,BR,Botafogo,1842
211302,V. Koziello,167.64,FR,1. FC Köln,1842
211302,A. Cresswell,175.26,GB,West Ham United,1842
211302,Alex Berenguer,175.26,ES,Torino,1842
211302,C. Davies,187.96,GB,Derby County,1842
211302,C. Kouyaté,187.96,SN,Crystal Palace,1842
211302,Y. Kobayashi,177.8,JP,Kawasaki Frontale,1842
211302,Camarasa,182.88,ES,Cardiff City,1842
211302,J. Martin,182.88,FR,RC Strasbourg Alsace,1842
211302,J. Grealish,175.26,GB,Aston Villa,1842
211302,D. Pelkas,177.8,GR,PAOK,1842
211302,J. Montero,172.72,EC,Swansea City,1842
211302,J. Forrest,175.26,gb-sct,Celtic,1842
211302,Varela,185.42,CV,PAOK,1842
211302,M. Antenucci,177.8,IT,SPAL,1842
211302,R. Durmisi,167.64,DK,Lazio,1842
211302,P. Schwegler,177.8,CH,Hannover 96,1842
211302,A. Hunt,182.88,DE,Hamburger SV,1842
211302,Aday Benítez,177.8,ES,Girona FC,1842
211302,K. Tierney,177.8,gb-sct,Celtic,1842
211302,Jaume,185.42,ES,Valencia CF,1842
211302,S. Gigot,187.96,FR,Spartak Moscow,1842
211302,I. Brizuela,170.18,MX,Guadalajara,1842
211302,A. Souquet,177.8,FR,KAA Gent,1842
211302,A. Delort,180.34,FR,Montpellier HSC,1842
211302,P. Zabaleta,177.8,AR,West Ham United,1842
211302,Andeson Trigo,175.26,BR,Fluminense,1842
211302,J. Gnagnon,182.88,FR,Sevilla FC,1842
211302,Mosquera,182.88,ES,Deportivo de La Coruña,1842
211302,I. Bebou,182.88,TG,Hannover 96,1842
211302,R. Morrison,175.26,GB,Lazio,1842
211302,L. Christodoulopoulos,182.88,GR,Olympiacos CFP,1842
211302,J. McArthur,177.8,gb-sct,Crystal Palace,1842
211302,R. Olsen,195.58,SE,Roma,1842
211302,W. Hoedt,187.96,NL,Southampton,1842
211302,R. Holding,187.96,GB,Arsenal,1842
211302,F. Montero,175.26,CO,Sporting CP,1842
211302,N. Sliti,172.72,TN,Dijon FCO,1842
211302,J. Vázquez,165.1,MX,Santos Laguna,1842
211302,Rodrigo Ely,187.96,BR,Deportivo Alavés,1842
211302,M. Benítez,172.72,AR,Independiente,1842
211302,Y. Yazıcı,182.88,TR,Trabzonspor,1842
211302,Y. Sankharé,182.88,SN,FC Girondins de Bordeaux,1842
211302,A. N'Diaye,187.96,SN,Málaga CF,1842
211302,S. Bell,193.04,DE,1. FSV Mainz 05,1842
211302,K. Linetty,175.26,PL,Sampdoria,1842
211302,F. Uduokhai,193.04,DE,VfL Wolfsburg,1842
211302,M. Samatta,182.88,TZ,KRC Genk,1842
211302,Barragán,182.88,ES,Real Betis,1842
211302,R. Hamouma,177.8,FR,AS Saint-Étienne,1842
211302,L. Skorupski,187.96,PL,Bologna,1842
211302,Toño García,177.8,ES,Levante UD,1842
211302,A. Szalai,193.04,HU,TSG 1899 Hoffenheim,1842
211302,Raúl Navas,185.42,ES,Real Sociedad,1842
211302,B. Koné,187.96,BF,MKE Ankaragücü,1842
211302,J. Brekalo,175.26,HR,VfL Wolfsburg,1842
211302,Diego Tardelli,177.8,BR,Shandong Luneng TaiShan FC,1842
211302,A. Hegazi,193.04,EG,West Bromwich Albion,1842
211302,M. Sels,190.5,BE,RC Strasbourg Alsace,1842
211302,D. Gray,180.34,GB,Leicester City,1842
211302,M. Pjaca,185.42,HR,Fiorentina,1842
211302,M. Arambarri,175.26,UY,Getafe CF,1842
211302,A. Ćorić,175.26,HR,Roma,1842
211302,T. Gebre Selassie,180.34,CZ,SV Werder Bremen,1842
211302,C. Nkunku,177.8,FR,Paris Saint-Germain,1842
211302,M. Topal,187.96,TR,Fenerbahçe SK,1842
211302,Léo Matos,182.88,BR,PAOK,1842
211302,F. Kainz,175.26,AT,SV Werder Bremen,1842
211302,B. Henrichs,182.88,DE,AS Monaco,1842
211302,Victildinho,177.8,BR,Vitória,1842
211302,D. Praet,180.34,BE,Sampdoria,1842
211302,A. Umar,175.26,NG,Çaykur Rizespor,1842
211302,J. Orozco,182.88,MX,Santos Laguna,1842
211302,N. El Zhar,170.18,MA,CD Leganés,1842
211302,O. Colley,190.5,GM,Sampdoria,1842
211302,J. Aholou,187.96,CI,AS Monaco,1842
211302,G. Clichy,175.26,FR,Medipol Başakşehir FK,1842
211302,Rubén Sobrino,185.42,ES,Deportivo Alavés,1842
211302,J. Iturbe,170.18,PY,U.N.A.M.,1842
211302,H. Soudani,177.8,DZ,Nottingham Forest,1842
211302,M. Bradley,187.96,US,Toronto FC,1842
211302,Z. Labyad,172.72,MA,Ajax,1842
211302,D. Mbokani,185.42,cg,Royal Antwerp FC,1842
211302,T. Mangani,182.88,FR,Angers SCO,1842
211302,A. Lunin,190.5,UA,CD Leganés,1842
211302,E. Insúa,180.34,AR,VfB Stuttgart,1842
211302,N. Domingo,175.26,AR,Independiente,1842
211302,D. Yedlin,172.72,US,Newcastle United,1842
211302,D. González,180.34,AR,Club Tijuana,1842
211302,T. Kraft,187.96,DE,Hertha BSC,1842
211302,M. Simon,167.64,NG,Levante UD,1842
211302,Davi Parrela,190.5,BR,Sport Club do Recife,1842
211302,N. Domínguez,182.88,AR,Racing Club,1842
211302,C. Dawson,187.96,GB,West Bromwich Albion,1842
211302,A. Rusnák,175.26,SK,Real Salt Lake,1842
211302,Paulo Oliveira,187.96,PT,SD Eibar,1842
211302,A. Gomis,193.04,SN,SPAL,1842
211302,H. Tekin,187.96,TR,Fenerbahçe SK,1842
211302,Tozé,165.1,PT,Vitória Guimarães,1842
211302,R. Ruidíaz,170.18,PE,Seattle Sounders FC,1842
211302,J. Hogg,175.26,GB,Huddersfield Town,1842
211302,L. Holtby,175.26,DE,Hamburger SV,1842
211302,A. Djiku,182.88,FR,Stade Malherbe Caen,1842
211302,O. Alonso,180.34,CU,Seattle Sounders FC,1842
211302,S. Berge,195.58,NO,KRC Genk,1842
211302,C. Zambrano,185.42,PE,FC Basel 1893,1842
211302,M. Antonio,177.8,GB,West Ham United,1842
211302,J. Clasie,170.18,NL,Feyenoord,1842
211302,Diego Rico,182.88,ES,Bournemouth,1842
211302,Mossoró,170.18,BR,Medipol Başakşehir FK,1842
211302,G. Donsah,175.26,GH,Bologna,1842
211302,Felipe,187.96,BR,SPAL,1842
211302,S. Fofana,182.88,CI,Udinese,1842
211302,Pablo Santos,187.96,BR,SC Braga,1842
211302,J. Svensson,170.18,NO,AZ Alkmaar,1842
211302,E. Roco,193.04,CL,Beşiktaş JK,1842
211302,F. Midtsjø,175.26,NO,AZ Alkmaar,1842
211302,Francis,175.26,ES,Real Betis,1842
211302,Ivi,175.26,ES,Real Valladolid CF,1842
211302,Unai Núñez,185.42,ES,Athletic Club de Bilbao,1842
211302,L. Lerager,185.42,DK,FC Girondins de Bordeaux,1842
211302,P. De Blasis,165.1,AR,SD Eibar,1842
211302,M. Zajc,177.8,SI,Empoli,1842
211302,J. Stanislas,182.88,GB,Bournemouth,1842
211302,Lucas Evangelista,180.34,BR,FC Nantes,1842
211302,M. Stoch,170.18,SK,SK Slavia Praha,1842
211302,S. van Beek,187.96,NL,Feyenoord,1842
211302,Fabrio Farinha,177.8,BR,Atlético Mineiro,1842
211302,M. Kozáčik,193.04,SK,Viktoria Plzeň,1842
211302,Fran Sol,180.34,ES,Willem II,1842
211302,R. Otero,170.18,VE,Al Wehda,1842
211302,G. Maripán,193.04,CL,Deportivo Alavés,1842
211302,M. Braithwaite,180.34,DK,Middlesbrough,1842
211302,E. Dilaver,182.88,AT,Dinamo Zagreb,1842
211302,R. Álvarez,187.96,AR,Club Atlas,1842
211302,A. Masuaku,177.8,cg,West Ham United,1842
211302,Rolando,187.96,PT,Olympique de Marseille,1842
211302,Fran Rico,177.8,ES,Granada CF,1842
211302,D. Tarasov,193.04,RU,Lokomotiv Moscow,1842
211302,Alcalá,195.58,ES,Girona FC,1842
211302,Alan Patrick,177.8,BR,Shakhtar Donetsk,1842
211302,L. Refaelov,175.26,IL,Royal Antwerp FC,1842
211302,Y. Gazinskiy,182.88,RU,,1842
211302,Palhinha,190.5,PT,SC Braga,1842
211302,Balenziaga,177.8,ES,Athletic Club de Bilbao,1842
211302,R. Petrović,193.04,RS,Sporting CP,1842
211302,K. Ansarifard,187.96,IR,Nottingham Forest,1842
211302,M. Ninković,180.34,RS,Sydney FC,1842
211302,A. Talavera,187.96,MX,Deportivo Toluca,1842
211302,A. Barrada,177.8,MA,Antalyaspor,1842
211302,J. Korb,177.8,DE,Hannover 96,1842
211302,F. Gutiérrez,170.18,CL,Sporting Kansas City,1842
211302,T. Bongonda,175.26,BE,SV Zulte-Waregem,1842
211302,Simão Donatinho,187.96,BR,Cruzeiro,1842
211302,Luís Hernández,182.88,ES,Málaga CF,1842
211302,L. Balogun,190.5,NG,Brighton & Hove Albion,1842
211302,M. Rog,180.34,HR,Napoli,1842
211302,B. Dočkal,182.88,CZ,Philadelphia Union,1842
211302,J. Durmaz,180.34,SE,Toulouse Football Club,1842
211302,T. Kádár,187.96,HU,Dynamo Kyiv,1842
211302,E. Andrada,193.04,AR,Boca Juniors,1842
211302,Z. Steffen,190.5,US,Columbus Crew SC,1842
211302,M. Lestienne,175.26,BE,Standard de Liège,1842
211302,M. Alustiza,165.1,AR,U.N.A.M.,1842
211302,Borja Mayoral,182.88,ES,Levante UD,1842
211302,D. Bonera,182.88,IT,Villarreal CF,1842
211302,Saúl Berjón,177.8,ES,Real Oviedo,1842
211302,C. Beauvue,175.26,FR,Stade Malherbe Caen,1842
211302,Danilo,182.88,BR,OGC Nice,1842
211302,J. Hernández,170.18,MX,Pachuca,1842
211302,J. Hendrick,182.88,IE,Burnley,1842
211302,M. Lopez,167.64,FR,Olympique de Marseille,1842
211302,F. Hanin,177.8,FR,Vitória Guimarães,1842
211302,D. Machís,170.18,VE,Udinese,1842
211302,A. Potuk,177.8,TR,Fenerbahçe SK,1842
211302,Idris,187.96,SN,Boavista FC,1842
211302,N. Cardozo,172.72,AR,Racing Club,1842
211302,Javi López,180.34,ES,RCD Espanyol,1842
211302,G. Pandev,182.88,MK,Genoa,1842
211302,Júlio Tavares,187.96,CV,Dijon FCO,1842
211302,D. Liénard,182.88,FR,RC Strasbourg Alsace,1842
211302,Y. Pelé,195.58,FR,Olympique de Marseille,1842
211302,L. Sepe,185.42,IT,Parma,1842
211302,J. Bruma,190.5,NL,VfL Wolfsburg,1842
211302,O. Duarte,185.42,CR,RCD Espanyol,1842
211302,A. Franco,182.88,AR,Independiente,1842
211302,Dani Olmo,177.8,ES,Dinamo Zagreb,1842
211302,F. Di Santo,193.04,AR,FC Schalke 04,1842
211302,Jozabed,180.34,ES,RC Celta,1842
211302,G. Carrillo,190.5,AR,CD Leganés,1842
211302,M. Zeegelaar,185.42,NL,Watford,1842
211302,G. Ferrari,187.96,IT,Sassuolo,1842
211302,O. Şahiner,175.26,TR,Atiker Konyaspor,1842
211302,I. Traoré,182.88,CI,Angers SCO,1842
211302,T. Arslan,180.34,DE,Beşiktaş JK,1842
211302,N. Araújo,187.96,MX,RC Celta,1842
211302,S. Armstrong,182.88,gb-sct,Southampton,1842
211302,K. Billiat,170.18,ZW,Kaizer Chiefs,1842
211302,Ivan Cavaleiro,175.26,PT,Wolverhampton Wanderers,1842
211302,E. Cabaco,185.42,UY,Levante UD,1842
211302,Silas Almeim,177.8,BR,Vitória,1842
211302,C. Kameni,185.42,CM,Fenerbahçe SK,1842
211302,Hélder Costa,177.8,PT,Wolverhampton Wanderers,1842
211302,E. Durm,182.88,DE,Huddersfield Town,1842
211302,Emerson,175.26,IT,Chelsea,1842
211302,G. Haraguchi,177.8,JP,Hannover 96,1842
211302,C. Fuchs,187.96,AT,Leicester City,1842
211302,E. Kalinski,182.88,AR,Club Atlético Banfield,1842
211302,Rafael,187.96,BR,Cagliari,1842
211302,F. Frei,182.88,CH,FC Basel 1893,1842
211302,M. Risse,182.88,DE,1. FC Köln,1842
211302,V. Cáceres,185.42,PY,,1842
211302,Renan Bressan,182.88,BY,GD Chaves,1842
211302,Lucas Lima,177.8,BR,FC Nantes,1842
211302,M. Silvestre,185.42,IT,Empoli,1842
211302,Portillo,170.18,ES,Getafe CF,1842
211302,F. Rønnow,190.5,DK,Eintracht Frankfurt,1842
211302,N. Spolli,193.04,AR,Genoa,1842
211302,S. Rajković,190.5,RS,Palermo,1842
211302,R. Berić,187.96,SI,AS Saint-Étienne,1842
211302,V. Hernández,160.02,CO,Atlético Nacional,1842
211302,Claudemir,185.42,BR,SC Braga,1842
211302,T. Jantschke,177.8,DE,Borussia Mönchengladbach,1842
211302,L. Schaub,177.8,AT,1. FC Köln,1842
211302,P. Tschauner,195.58,DE,Hannover 96,1842
211302,Gabrisco Aníbal,182.88,BR,Paraná,1842
211302,B. Feilhaber,175.26,US,Los Angeles FC,1842
211302,A. Grassi,182.88,IT,Parma,1842
211302,N. Vikonis,182.88,UY,Puebla FC,1842
211302,P. Ntep,180.34,CM,VfL Wolfsburg,1842
211302,L. Vangioni,177.8,AR,Monterrey,1842
211302,S. Okazaki,172.72,JP,Leicester City,1842
211302,Diego Castro,175.26,ES,Perth Glory,1842
211302,C. Jallet,177.8,FR,OGC Nice,1842
211302,O. Pineda,170.18,MX,Guadalajara,1842
211302,A. Mounier,175.26,FR,Panathinaikos FC,1842
211302,Sandro,187.96,BR,Genoa,1842
211302,N. Redmond,172.72,GB,Southampton,1842
211302,Gálvez,187.96,ES,Rayo Vallecano,1842
211302,A. Song,185.42,CM,FC Sion,1842
211302,E. Badu,172.72,GH,Udinese,1842
211302,M. Agu,182.88,NG,Vitória de Setúbal,1842
211302,Jason,177.8,ES,Levante UD,1842
211302,S. Cristóforo,175.26,UY,Getafe CF,1842
211302,L. Butelle,187.96,FR,Angers SCO,1842
211302,Allan Bardinho,175.26,BR,Botafogo,1842
211302,P. Dummett,182.88,gb-wls,Newcastle United,1842
211302,H. Villalba,172.72,PY,Atlanta United,1842
211302,K. Amian,180.34,FR,Toulouse Football Club,1842
211302,José Mirazar,180.34,BR,Grêmio,1842
211302,A. Hernández,185.42,UY,PFC CSKA Moscow,1842
211302,Ailton Guevara,177.8,BR,América FC (Minas Gerais),1842
211302,O. Akhmedov,180.34,UZ,Shanghai SIPG FC,1842
211302,Naldo,187.96,BR,RCD Espanyol,1842
211302,Y. Ayoub,175.26,MA,Feyenoord,1842
