name,gender,height,category,subcat1,subcat2,extras
blanche,female,163.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
doula,female,163.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
ersha,female,163.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
leora,female,163.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
rachel,female,163.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
sandra,female,163.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
sherry,female,163.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
cecily,female,162.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
renarde,female,162.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
yuyu,female,162.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
berna,unknown,162.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
diera,female,162.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
erica,female,162.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
faa,female,162.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
koyomi,female,162.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
lin,unknown,162.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
mia,female,162.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
seria,female,162.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
siena,female,162.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
thetis,female,162.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
kazuha,female,161.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
chizuru,female,161.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
monica,female,161.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
hikage,female,161.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
lizette,female,161.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
eldora,female,161.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
ester,female,161.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
fiore,male,161.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
mireille,female,161.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
silvia,female,161.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
tenma,male,161.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
elva,female,161.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
louise,female,161.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
lythtis,male,161.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
roza,female,161.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
sabrina,female,161.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
uzume,female,161.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
viera,female,161.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
soma,male,160.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
ehret,male,160.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
ulidem,male,160.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
liana,female,160.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
metus,male,160.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
moltena,female,160.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
towa,female,160.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
aleese,female,160.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
cypria,female,160.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
verdinath,male,160.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
asar,unknown,159.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
elaine,female,159.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
merone,male,159.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
rute,female,159.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
laurier,unknown,159.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
xiao,unknown,159.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
suil,unknown,159.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
nagi,male,159.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
leona,female,159.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
raven,male,159.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
raven,male,159.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
sakuya,female,159.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
alissa,female,158.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
calliope,female,158.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
cassis,female,158.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
riele,female,158.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
katie,female,158.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
krul,female,158.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
marie,female,158.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
matilda,female,158.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
mistel,male,158.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
leifa,female,158.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
mephisto,male,158.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
nullaly,female,158.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
sylseth,male,158.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
anelia,female,158.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
emilia,female,158.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
flamel,male,158.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
jessica,female,158.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
momiji,female,158.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
ricola,female,158.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
sereina,female,158.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
khuri,male,157.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
ibuki,female,157.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
kayou,male,157.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
wurm,male,157.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
camilla,female,157.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
motley,male,157.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
revy,female,157.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
viola,female,157.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
vivian,female,157.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
mischa,male,156.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
verotte,male,156.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
iris,female,156.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
charme,unknown,156.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
alice,female,156.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
elias,male,156.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
imelia,female,156.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
itsuki,male,156.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
melvina,female,156.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
phonia,male,156.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
seven,unknown,156.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
shuuka,female,156.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
ertel,male,155.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
palace,unknown,155.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
cuterie,unknown,155.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
rilke,male,155.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
forte,male,155.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
kikyou,female,155.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
adele,female,155.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
chydis,female,155.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
elene,female,155.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
hana,female,155.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
junon,female,155.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
xiao-mei,female,155.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
niel,male,154.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
phyllis,female,154.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
solare,female,154.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
zola,female,154.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
angeline,female,154.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
farne,male,154.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
lapis,male,154.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
tifa,female ,154.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
aoba,female,154.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
erenia,female,154.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
lei-mei,female,154.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
rischelte,female,154.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
rumaria,female,154.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
cornelia,female,153.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
kyuubi,male,153.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
shino,male,153.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
teeny,female,153.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
lepuru,unknown,153.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
marle,female,153.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
pippin,male,153.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
rita,female,153.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
shirley,female,153.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
spica,female,153.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
clara,female,152.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
iroha,female,152.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
mao,female,152.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
claire,female,152.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
lulu,female,152.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
aix,female,152.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
koharu,female,152.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
matsuri,female,152.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
alicia,female,152.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
daki,male,152.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
fermi,male,152.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
fuuko,female,152.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
kokoro,female,152.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
lina,female,152.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
reve,male,152.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
sandy,female,152.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
saria,female,152.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
supura,female,152.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
fei,unknown,151.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
kagerou,female,151.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
tigre,male,151.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
haruka,female,151.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
lien,male,151.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
machina,female,151.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
barous,male,151.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
claudia,female,151.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
ramii,female,151.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
maya,female,150.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
kaname,male,150.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
leaf,female,150.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
maurette,female,150.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
ryuryu,male ,150.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
patel,male,150.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
anya,female,150.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
socie,female,150.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
gretel,female,150.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
helena,female,150.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
konoha,female,150.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
memento,male,150.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
sayo,female,150.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
bella,female,149.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
sybilla,female,149.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
akane,female,149.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
amelie,female,149.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
amy,female,149.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
corin,male,149.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
fran,female,149.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
liddy,female,149.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
lucia,female,149.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
miruno,female,149.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
totono,female,149.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
yuno,female,149.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
sharon,female,148.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
betty,female,148.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
leda,female,148.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
kibahime,female,148.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
orochihime,female,148.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
rinne,female,148.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
saki,female,148.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
belzetta,female,148.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
charlotte,female,148.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
irene,female,148.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
marnie,female,148.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
palfy,unknown,148.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
prim,female,148.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
puniru,female,147.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
miyabi,female,147.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
dolce,female,147.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
fignelia,female,147.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
lateria,female,147.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
meiling,female,147.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
kagura,female,146.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
racua,female,146.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
rikka,female ,146.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
shizuka,female,146.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
ur,male,146.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
meteor,male,145.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
saval,male,145.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
solano,male,145.0,Fictional,Anime,Millennium War Aigis,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
