name,net_worth,gender,nationality,birthday,age,is_alive,death,birthDate,deathDate,category,height
brian tee,4000000.0,male,us,1977-03-15,46.0,1.0,,,,'actor',
brian wilson,100000000.0,male,us,1942-06-20,81.0,1.0,,,,'record_producer',188.0
brian quinn,7000000.0,male,us,1976-03-14,47.0,1.0,,,,'comedian',
brian thompson,4000000.0,male,us,1959-08-28,63.0,1.0,,,,'actor',191.0
bridget fonda,50000000.0,female,us,1964-01-27,59.0,1.0,,,,'actor',168.00000000000003
bridget moynahan,25000000.0,female,us,1970-04-28,53.0,1.0,,,,'model',177.0
bridgette wilson,25000000.0,female,us,1973-09-25,49.0,1.0,,,,'actor',175.0
bridgit mendler,2000000.0,female,us,1992-12-18,30.0,1.0,,,,'actor',168.00000000000003
brie larson,25000000.0,female,us,1989-10-01,33.0,1.0,,,,'actor',170.00000000000003
brigitte bardot,65000000.0,female,fr,1934-09-28,88.0,1.0,,,,'singer',170.00000000000003
brigitte nielsen,600000.0,female,dk,1963-07-15,59.0,1.0,,,,'actor',185.0
britney spears,115000000.0,female,us,1981-12-02,41.0,1.0,,,,'actor',163.0
britt ekland,22000000.0,female,se,1942-10-06,80.0,1.0,,,,'actor',165.0
brit marling,4000000.0,,,,,,,,,nan,
britt robertson,3000000.0,female,us,1990-04-18,33.0,1.0,,,,'actor',159.0
brittany curran,2000000.0,female,us,1990-06-02,33.0,1.0,,,,'actor',167.0
brittany daniel,4000000.0,female,us,1976-03-17,47.0,1.0,,,,'actor',170.00000000000003
brittany murphy,10000000.0,female,us,1977-11-10,32.0,0.0,2009-12-20,,,'actor',160.0
brittny gastineau,5000000.0,female,us,1982-11-11,40.0,1.0,,,,'model',174.0
brock lesnar,25000000.0,male,us,1977-07-12,45.0,1.0,,,,'wrestler',191.0
brittany snow,9000000.0,female,us,1986-03-09,37.0,1.0,,,,'actor',163.0
bronson pinchot,3000000.0,male,us,1959-05-20,64.0,1.0,,,,'actor',175.0
brooke adams,10000000.0,female,us,1949-02-08,74.0,1.0,,,,'actor',165.0
brooke burns,3000000.0,female,us,1978-03-16,45.0,1.0,,,,'actor',173.0
brooke d'orsay,3000000.0,female,ca,1982-02-17,41.0,1.0,,,,'actor',165.0
brooke baldwin,10000000.0,,,,,,,,,nan,
brooke langton,2000000.0,female,us,1970-11-27,52.0,1.0,,,,'actor',165.0
brooke burke,30000000.0,female,us,1971-09-08,51.0,1.0,,,,'model',170.00000000000003
brooke hogan,4000000.0,female,us,1988-05-05,35.0,1.0,,,,'model',180.0
brooke shields,40000000.0,female,us,1965-05-31,58.0,1.0,,,,'actor',183.0
brooke valentine,400000.0,female,us,1984-10-05,38.0,1.0,,,,'singer',157.0
brooke smith,750000.0,female,us,1967-05-22,56.0,1.0,,,,'actor',179.0
bruce campbell,10000000.0,male,us,1958-06-22,65.0,1.0,,,,'actor',185.0
brooklyn decker,40000000.0,female,us,1987-04-12,36.0,1.0,,,,'model',175.0
bruce dickinson,115000000.0,male,gb,1958-08-07,64.0,1.0,,,,'author',167.0
bruce forsyth,25000000.0,male,gb,1928-02-22,95.0,1.0,,,,'presenter',180.0
brooklyn beckham,10000000.0,,,,,,,,,nan,
bruce greenwood,10000000.0,male,ca,1956-08-12,66.0,1.0,,,,'actor',180.0
bruce boxleitner,3000000.0,male,us,1950-05-12,73.0,1.0,,,,'actor',188.0
bruce dern,12000000.0,male,us,1936-06-04,87.0,1.0,,,,'actor',183.0
bruce gray,2000000.0,male,ca,1936-09-07,86.0,1.0,,,,'actor',
bruce hornsby,5000000.0,male,us,1954-11-23,68.0,1.0,,,,'songwriter',193.00000000000003
bruce kulick,15000000.0,male,us,1953-12-12,69.0,1.0,,,,'guitarist',188.0
bruce mcgill,4000000.0,male,us,1950-07-11,72.0,1.0,,,,'actor',176.0
bruce willis,250000000.0,male,us,1955-03-19,68.0,1.0,,,,'actor',183.0
bruce lee,10000000.0,male,us,1940-11-27,32.0,0.0,1973-07-20,,,'actor',171.0
bruna marquezine,3000000.0,female,br,1995-08-04,27.0,1.0,,,,'actor',
bruno campos,4000000.0,male,br,1973-12-03,49.0,1.0,,,,'actor',185.0
bruno kirby,4000000.0,male,us,1949-04-28,57.0,0.0,2006-08-14,,,'actor',169.0
bruce springsteen,500000000.0,male,us,1949-09-23,73.0,1.0,,,,'singer-songwriter',177.0
bruno mars,175000000.0,male,us,1985-10-08,37.0,1.0,,,,'singer-songwriter',165.0
bryan adams,65000000.0,male,ca,1959-11-05,63.0,1.0,,,,'photographer',172.0
bryan adams,65000000.0,male,ca,1959-11-05,63.0,1.0,,,,'photographer',172.0
bryan brown,10000000.0,male,au,1947-06-23,76.0,1.0,,,,'actor',
bryan cranston,40000000.0,male,us,1956-03-07,67.0,1.0,,,,'actor',179.0
bryan ferry,50000000.0,male,gb,1945-09-26,77.0,1.0,,,,'singer',186.0
bryan greenberg,3000000.0,male,us,1978-05-24,45.0,1.0,,,,'actor',183.0
bryshere gray,2000000.0,male,,,,,,,,nan,
bubba smith,500000.0,male,us,1945-02-28,66.0,0.0,2011-08-03,,,'american_football_player',200.99999999999997
buck taylor,5000000.0,male,us,1938-05-13,85.0,1.0,,,,'actor',183.0
bryce dallas howard,25000000.0,female,us,1981-03-02,42.0,1.0,,,,'actor',173.0
bryan callen,2500000.0,male,ph,1967-01-26,56.0,1.0,,,,'actor',180.0
bryce harper,70000000.0,male,us,1992-10-16,30.0,1.0,,,,'baseball_player',188.0
buddy ebsen,2000000.0,male,us,1908-04-02,95.0,0.0,2003-07-06,,,'actor',192.0
buddy hackett,10000000.0,male,us,1924-08-31,98.0,1.0,,,,'comedian',168.00000000000003
bug hall,250000.0,male,us,1985-02-04,38.0,1.0,,,,'actor',188.0
bud spencer,500000.0,male,it,1929-10-31,93.0,1.0,,,,'actor',192.0
burgess meredith,3000000.0,male,us,1907-11-16,89.0,0.0,1997-09-09,,,'actor',166.0
burl ives,5000000.0,male,us,1909-06-14,85.0,0.0,1995-04-14,,,'singer',185.0
burnie burns,5000000.0,male,us,1973-01-18,50.0,1.0,,,,'screenwriter',188.0
burt reynolds,3000000.0,male,us,1936-02-11,82.0,0.0,2018-09-06,,,'film_producer',180.0
burt ward,20000000.0,male,us,1945-07-06,78.0,1.0,,,,'actor',173.0
burt young,2000000.0,male,us,1940-04-30,83.0,1.0,,,,'actor',173.0
busta rhymes,20000000.0,male,us,1972-05-20,51.0,1.0,,,,'actor',185.0
burn gorman,3000000.0,male,us,1974-09-01,48.0,1.0,,,,'actor',180.0
buster keaton,10000000.0,male,us,1895-10-04,70.0,0.0,1966-02-01,,,'actor',165.0
buster douglas,15000000.0,male,us,1960-04-07,63.0,1.0,,,,'professional_boxer',192.0
burt lancaster,60000000.0,male,us,1913-11-02,80.0,0.0,1994-10-20,,,'actor',188.0
butch patrick,250000.0,male,us,1953-08-02,69.0,1.0,,,,'actor',170.00000000000003
busy philipps,12000000.0,female,us,1979-06-25,44.0,1.0,,,,'actor',167.0
c. thomas howell,4000000.0,male,us,1966-12-07,56.0,1.0,,,,'actor',180.0
c.s. lee,2000000.0,male,kr,1971-12-30,51.0,1.0,,,,'actor',165.0
caitlin stasey,3000000.0,female,au,1990-05-01,33.0,1.0,,,,'actor',156.0
caitlyn jenner,100000000.0,male,us,1949-10-28,73.0,1.0,,,,'athlete',188.0
caleb followill,16000000.0,male,us,1982-01-14,41.0,1.0,,,,'singer',178.0
caleb mclaughlin,3000000.0,,,,,,,,,nan,
caity lotz,2000000.0,female,us,1986-12-30,36.0,1.0,,,,'actor',
caitriona balfe,4000000.0,female,ie,1979-10-04,43.0,1.0,,,,'fashion_model',
calista flockhart,30000000.0,female,us,1964-11-11,58.0,1.0,,,,'actor',166.0
callie thorne,6000000.0,female,us,1969-11-20,53.0,1.0,,,,'actor',160.0
calum best,8000000.0,male,us,1981-02-06,42.0,1.0,,,,'model',188.0
calum hood,20000000.0,male,au,1996-01-25,27.0,1.0,,,,'bassist',
callum blue,5000000.0,male,gb,1977-08-19,45.0,1.0,,,,'actor',183.0
calum worthy,1000000.0,male,ca,1991-01-28,32.0,1.0,,,,'actor',180.0
calvin harris,300000000.0,male,gb,1984-01-17,39.0,1.0,,,,'record_producer',196.0
cam gigandet,4000000.0,male,us,1982-08-16,40.0,1.0,,,,'actor',183.0
cam newton,75000000.0,male,us,1989-05-11,34.0,1.0,,,,'american_football_player',196.0
cameron boyce,5000000.0,male,us,1999-05-28,20.0,0.0,2019-07-06,,,'actor',
cameron dallas,4000000.0,,,,,,,,,nan,
cameron diaz,140000000.0,female,us,1972-08-30,50.0,1.0,,,,'model',175.0
cameron bright,2000000.0,male,ca,1993-01-26,30.0,1.0,,,,'actor',178.0
cameron crowe,45000000.0,male,us,1957-07-13,65.0,1.0,,,,'film_director',183.0
cameron richardson,2000000.0,female,us,1979-09-11,43.0,1.0,,,,'model',173.0
cameron monaghan,5000000.0,male,us,1993-08-16,29.0,1.0,,,,'actor',178.0
cameron mathison,2000000.0,male,ca,1969-08-25,53.0,1.0,,,,'actor',188.0
camila cabello,14000000.0,female,,1997-03-03,26.0,1.0,,,,'singer',
camila mendes,3000000.0,,,,,,,,,nan,
camilla luddington,2000000.0,,,,,,,,,nan,
camilla belle,2000000.0,female,us,1986-10-02,36.0,1.0,,,,'actor',172.0
camille guaty,3000000.0,female,us,1978-06-28,45.0,1.0,,,,'actor',160.0
camille grammer,50000000.0,female,us,1968-09-02,54.0,1.0,,,,'model',168.00000000000003
campbell scott,1000000.0,male,us,1961-07-19,61.0,1.0,,,,'actor',180.0
camryn manheim,12000000.0,female,us,1961-03-08,62.0,1.0,,,,'actor',178.0
candace owens,1000000.0,,,,,,,,,nan,
candice accola,4000000.0,female,us,1987-05-13,36.0,1.0,,,,'actor',173.0
candice bergen,50000000.0,female,us,1946-05-09,77.0,1.0,,,,'actor',171.0
candace bailey,500000.0,female,us,1982-05-20,41.0,1.0,,,,'actor',168.00000000000003
candice swanepoel,25000000.0,female,za,1988-10-20,34.0,1.0,,,,'model',177.0
candy clark,3000000.0,female,us,1947-06-20,76.0,1.0,,,,'actor',170.00000000000003
cantinflas,5000000.0,,,,,,,,,nan,
candice glover,1000000.0,female,us,1989-11-22,33.0,1.0,,,,'singer',
caprice bourret,30000000.0,female,us,1971-10-24,51.0,1.0,,,,'fashion_model',174.0
cara buono,10000000.0,female,us,1974-03-01,49.0,1.0,,,,'actor',165.0
cara delevingne,28000000.0,female,gb,1992-08-12,30.0,1.0,,,,'model',173.0
carey mulligan,16000000.0,female,gb,1985-05-28,38.0,1.0,,,,'actor',170.00000000000003
cari champion,2000000.0,female,us,,,,,,,'actor',
carice van houten,5000000.0,female,nl,1976-09-05,46.0,1.0,,,,'actor',169.0
cardi b,24000000.0,,,,,,,,,nan,
carel struycken,3000000.0,male,nl,1948-07-30,74.0,1.0,,,,'actor',213.0
carey lowell,6000000.0,female,us,1961-02-11,62.0,1.0,,,,'model',178.0
carl lewis,20000000.0,male,us,1961-07-01,62.0,1.0,,,,'track_and_field_athlete',188.0
carl reiner,70000000.0,male,us,1922-03-20,98.0,0.0,2020-06-29,,,'comedian',187.0
carl fogarty,45000000.0,male,gb,1965-07-01,58.0,1.0,,,,'motorcycle_racer',
carl weathers,6000000.0,male,us,1948-01-14,75.0,1.0,,,,'american_football_player',188.0
carl froch,20000000.0,male,gb,1977-07-02,46.0,1.0,,,,nan,185.0
carla bruni,15000000.0,female,fr,1967-12-23,55.0,1.0,,,,'singer',175.0
carl lumbly,2000000.0,male,us,1951-08-14,71.0,1.0,,,,'actor',185.0
carla gallo,2000000.0,female,us,1975-06-24,48.0,1.0,,,,'actor',163.0
carla gugino,14000000.0,female,us,1971-08-29,51.0,1.0,,,,'actor',165.0
carlos bernard,3000000.0,male,us,1962-10-12,60.0,1.0,,,,'actor',178.0
carlos santana,80000000.0,male,mx,1947-07-20,75.0,1.0,,,,'musician',177.0
carlos vives,9000000.0,male,co,1961-08-07,61.0,1.0,,,,'singer',
carly pope,2000000.0,female,ca,1980-08-28,42.0,1.0,,,,'actor',167.0
carly rae jepsen,10000000.0,female,ca,1985-11-21,37.0,1.0,,,,'singer-songwriter',157.0
carlson young,4000000.0,female,us,1990-10-29,32.0,1.0,,,,'actor',154.0
carmella decesare,25000000.0,female,us,1982-07-01,41.0,1.0,,,,'nude_glamour_model',173.0
carly simon,65000000.0,female,us,1945-06-25,78.0,1.0,,,,'guitarist',179.0
carmelo anthony,160000000.0,male,us,1984-05-29,39.0,1.0,,,,'basketball_player',202.99999999999997
carmen electra,8000000.0,female,us,1972-04-20,51.0,1.0,,,,'singer',160.0
carmine giovinazzo,4000000.0,male,us,1973-08-24,49.0,1.0,,,,'actor',178.0
carol alt,25000000.0,female,us,1960-12-01,62.0,1.0,,,,'actor',179.0
carol burnett,45000000.0,female,us,1933-04-26,90.0,1.0,,,,'comedian',169.0
carol channing,25000000.0,female,us,1921-01-31,102.0,1.0,,,,'singer',175.0
carol kane,5000000.0,female,us,1952-06-18,71.0,1.0,,,,'actor',157.0
carol vorderman,10000000.0,female,gb,1960-12-24,62.0,1.0,,,,'writer',169.0
carol mcgiffin,9000000.0,female,gb,1960-02-18,63.0,1.0,,,,'presenter',175.0
carol lynley,10000000.0,female,us,1942-02-13,81.0,1.0,,,,'actor',
carole king,70000000.0,female,us,1942-02-09,81.0,1.0,,,,'singer',162.0
carole lombard,16000000.0,female,us,1908-10-06,33.0,0.0,1942-01-16,,,'actor',161.0
carol wayne,2000000.0,female,us,1942-09-06,42.0,0.0,1985-01-13,,,'actor',
caroline flack,8000000.0,female,gb,1979-11-09,40.0,0.0,2020-02-15,,,'presenter',163.0
caroline rhea,4000000.0,female,ca,1964-04-13,59.0,1.0,,,,'actor',173.0
caroline wozniacki,30000000.0,female,dk,1990-07-11,32.0,1.0,,,,'tennis_player',179.0
carolyn murphy,35000000.0,female,us,1975-08-11,47.0,1.0,,,,'model',173.0
caroline sunshine,2000000.0,female,us,1995-09-05,27.0,1.0,,,,'actor',161.0
carre otis,3000000.0,female,us,1968-09-28,54.0,1.0,,,,'actor',178.0
carrie fisher,25000000.0,female,us,1956-10-21,60.0,0.0,2016-12-27,,,'novelist',155.0
carrie ann inaba,9000000.0,female,us,1968-01-05,55.0,1.0,,,,'singer',167.0
carrie keagan,3000000.0,,,,,,,,,nan,
carroll baker,4000000.0,female,us,1931-05-28,92.0,1.0,,,,'actor',165.0
carroll o'connor,20000000.0,male,us,1924-08-02,76.0,0.0,2001-06-21,,,'actor',180.0
carrie preston,3000000.0,female,us,1967-06-21,56.0,1.0,,,,'actor',163.0
carrot top,70000000.0,male,us,1965-02-25,58.0,1.0,,,,'actor',178.0
carson daly,40000000.0,male,us,1973-06-22,50.0,1.0,,,,'talk_show_host',188.0
carrie underwood,140000000.0,female,us,1983-03-10,40.0,1.0,,,,'singer-songwriter',160.0
cary elwes,8000000.0,male,gb,1962-10-26,60.0,1.0,,,,'actor',183.0
cary grant,60000000.0,male,us,1904-01-18,82.0,0.0,1986-11-29,,,'actor',187.0
carson kressley,8000000.0,male,us,1969-11-11,53.0,1.0,,,,'presenter',178.0
casey affleck,20000000.0,male,us,1975-08-12,47.0,1.0,,,,'actor',175.0
casey wilson,2000000.0,female,us,1980-10-24,42.0,1.0,,,,'actor',173.0
casey neistat,16000000.0,male,us,1981-03-25,42.0,1.0,,,,'film_director',
mama cass elliot,20000.0,female,us,1941-09-19,32.0,0.0,1974-07-29,,,'singer',165.0
casper van dien,7000000.0,male,us,1968-12-18,54.0,1.0,,,,'actor',177.0
cassadee pope,4000000.0,female,us,1989-08-28,33.0,1.0,,,,'singer-songwriter',163.0
cassidy freeman,3000000.0,female,us,1982-04-22,41.0,1.0,,,,'actor',
cassidy rae,2000000.0,female,us,1976-06-07,47.0,1.0,,,,'actor',165.0
cassie scerbo,1500000.0,female,us,1990-03-30,33.0,1.0,,,,'actor',157.0
cassie scerbo,1500000.0,female,us,1990-03-30,33.0,1.0,,,,'actor',157.0
cassidy hubbarth,500000.0,,,1984-09-19,38.0,1.0,,,,nan,
cat deeley,15000000.0,female,gb,1976-10-23,46.0,1.0,,,,'presenter',175.0
cate blanchett,95000000.0,female,au,1969-05-14,54.0,1.0,,,,'actor',174.0
caterina murino,4000000.0,female,it,1977-09-15,45.0,1.0,,,,'actor',175.0
catherine deneuve,75000000.0,female,fr,1943-10-22,79.0,1.0,,,,'actor',168.00000000000003
catherine hicks,3000000.0,female,us,1951-08-06,71.0,1.0,,,,'actor',160.0
catherine keener,8000000.0,female,us,1959-03-23,64.0,1.0,,,,'actor',173.0
catherine bach,10000000.0,female,us,1954-03-01,69.0,1.0,,,,'actor',173.0
catherine bell,15000000.0,female,gb,1968-08-14,54.0,1.0,,,,'actor',178.0
catherine dent,1000000.0,female,us,1965-04-14,58.0,1.0,,,,'actor',173.0
catherine mary stewart,3000000.0,female,ca,1959-04-22,64.0,1.0,,,,'actor',168.00000000000003
catherine mccormack,3000000.0,female,gb,1972-04-03,51.0,1.0,,,,'actor',170.00000000000003
catherine hickland,20000000.0,female,us,1956-02-11,67.0,1.0,,,,'actor',165.0
catherine paiz,2000000.0,,,,,,,,,nan,
catherine o'hara,10000000.0,female,ca,1954-03-04,69.0,1.0,,,,'actor',163.0
catherine oxenberg,25000000.0,female,us,1961-09-22,61.0,1.0,,,,'actor',166.0
catherine tate,8000000.0,female,gb,1968-05-12,55.0,1.0,,,,'actor',171.0
catt sadler,3000000.0,female,,1974-08-24,48.0,1.0,,,,'journalist',165.0
cecily strong,4000000.0,female,us,1984-02-08,39.0,1.0,,,,'actor',
cedric the entertainer,25000000.0,male,us,1964-04-24,59.0,1.0,,,,'comedian',168.00000000000003
cecil b. demille,50000000.0,male,us,1881-08-12,77.0,0.0,1959-01-21,,,'film_director',180.0
cee lo green,10000000.0,male,us,1974-05-30,49.0,1.0,,,,'record_producer',169.0
celine dion,800000000.0,female,ca,1968-03-30,55.0,1.0,,,,'singer',171.0
cenk uygur,5000000.0,male,us,1970-03-21,53.0,1.0,,,,'television_producer',
cenk uygur,5000000.0,male,us,1970-03-21,53.0,1.0,,,,'television_producer',
cesaro,3000000.0,,,,,,,,,nan,
cerina vincent,2000000.0,female,us,1979-02-07,44.0,1.0,,,,'actor',166.0
chad allen,6000000.0,male,us,1974-06-05,49.0,1.0,,,,'actor',170.00000000000003
chad coleman,1500000.0,male,us,,,,,,,'actor',
cesar romero,5000000.0,male,us,1907-02-15,86.0,0.0,1994-01-01,,,'actor',188.0
cesc fabregas,45000000.0,male,es,1987-05-04,36.0,1.0,,,,'football_player',179.0
chace crawford,6000000.0,male,us,1985-07-18,37.0,1.0,,,,'model',183.0
chad kroeger,80000000.0,male,ca,1974-11-15,48.0,1.0,,,,'singer',185.0
chad lowe,4000000.0,male,us,1968-01-15,55.0,1.0,,,,'actor',174.0
chad michael murray,12000000.0,male,us,1981-08-24,41.0,1.0,,,,'model',183.0
chad mcqueen,45000000.0,male,us,1960-12-28,62.0,1.0,,,,'actor',174.0
chadwick boseman,12000000.0,male,us,1976-11-29,43.0,0.0,2020-08-28,,,'screenwriter',183.0
chad lindberg,4000000.0,male,us,1976-11-01,46.0,1.0,,,,'actor',180.0
chamillionaire,50000000.0,male,us,1979-11-28,43.0,1.0,,,,'entrepreneur',178.0
justin chancellor,45000000.0,male,gb,1971-11-19,51.0,1.0,,,,'musician',
chandler riggs,8000000.0,male,us,1999-06-27,24.0,1.0,,,,'actor',163.0
chandra wilson,10000000.0,female,us,1969-08-27,53.0,1.0,,,,'actor',152.0
chanel iman,8000000.0,female,us,1990-12-01,32.0,1.0,,,,'fashion_model',178.0
channing tatum,80000000.0,male,us,1980-04-26,43.0,1.0,,,,'actor',185.0
chanel west coast,3000000.0,female,us,1988-09-01,34.0,1.0,,,,'tv_personality',160.0
chantal kreviazuk,1000000.0,female,ca,1974-05-18,49.0,1.0,,,,'musician',173.0
chantelle houghton,2000000.0,female,gb,1983-08-21,39.0,1.0,,,,'presenter',170.00000000000003
charice pempengco,6000000.0,female,ph,1992-05-10,31.0,1.0,,,,'singer',155.0
charisma carpenter,4000000.0,female,us,1970-07-23,52.0,1.0,,,,'actor',171.0
charissa thompson,3000000.0,female,us,1982-05-04,41.0,1.0,,,,'presenter',175.0
charlene tilton,2000000.0,female,us,1958-12-01,64.0,1.0,,,,'actor',150.0
charles barkley,50000000.0,male,us,1963-02-20,60.0,1.0,,,,'basketball_player',198.0
charlamagne tha god,10000000.0,,,,,,,,,nan,
charles bronson,65000000.0,male,us,1921-11-03,81.0,0.0,2003-08-30,,,'actor',174.0
charles dance,5000000.0,male,gb,1946-10-10,76.0,1.0,,,,'actor',191.0
charles kelley,25000000.0,male,us,1981-09-11,41.0,1.0,,,,'singer-songwriter',198.0
charles grodin,12000000.0,male,us,1935-04-21,88.0,1.0,,,,'comedian',183.0
charles malik whitfield,1000000.0,male,us,1971-08-01,51.0,1.0,,,,'actor',
charles melton,3000000.0,,,,,,,,,nan,
charles michael davis,800000.0,male,us,1984-12-01,38.0,1.0,,,,'actor',
charles nelson reilly,5000000.0,male,us,1931-01-13,76.0,0.0,2007-05-25,,,'comedian',180.0
charles martin smith,1500000.0,male,us,1953-10-30,69.0,1.0,,,,'film_director',163.0
charles mesure,3000000.0,male,gb,1970-08-12,52.0,1.0,,,,'actor',
charles shaughnessy,2000000.0,male,gb,1955-02-09,68.0,1.0,,,,'actor',182.0
charli xcx,10000000.0,female,gb,1992-08-02,30.0,1.0,,,,'singer-songwriter',
charlie brooker,8000000.0,male,gb,1971-03-03,52.0,1.0,,,,'journalist',178.0
charlie chaplin,400000000.0,male,gb,1889-04-16,88.0,0.0,1977-12-25,,,'film_director',165.0
charli d'amelio,8000000.0,,,,,,,,,nan,
charlie day,30000000.0,male,us,1976-02-09,47.0,1.0,,,,'actor',169.0
charlie day,30000000.0,male,us,1976-02-09,47.0,1.0,,,,'actor',169.0
charlie hunnam,20000000.0,male,gb,1980-04-10,43.0,1.0,,,,'actor',185.0
charlie cox,5000000.0,male,gb,1982-12-15,40.0,1.0,,,,'actor',178.0
charlie kirk,2000000.0,,,,,,,,,nan,
charlie mcdermott,2000000.0,male,us,1990-04-06,33.0,1.0,,,,'actor',171.0
charlie murphy,2500000.0,male,us,1959-07-12,57.0,0.0,2017-04-12,,,'actor',185.0
charlie o'connell,600000.0,male,us,1975-04-21,48.0,1.0,,,,'actor',191.0
charlie puth,10000000.0,,,,,,,,,nan,
charlie rose,40000000.0,male,us,1942-01-05,81.0,1.0,,,,'journalist',191.0
charlie korsmo,500000.0,male,us,1978-07-20,44.0,1.0,,,,'lawyer',173.0
charlie schlatter,1500000.0,male,us,1966-05-01,57.0,1.0,,,,'voice_actor',171.0
charlie sheen,10000000.0,male,us,1965-09-03,57.0,1.0,,,,'actor',178.0
charlie weber,3000000.0,male,us,1978-09-20,44.0,1.0,,,,'actor',
charlize theron,160000000.0,female,us,1975-08-07,47.0,1.0,,,,'actor',177.0
charlotte flair,1000000.0,,,,,,,,,nan,
charlotte church,8000000.0,female,gb,1986-02-21,37.0,1.0,,,,'singer',164.0
charlotte gainsbourg,8000000.0,female,fr,1971-07-21,51.0,1.0,,,,'actor',173.0
charlotte le bon,4000000.0,female,,,,,,,,'actor',
charlotte lewis,1500000.0,female,gb,1967-08-07,55.0,1.0,,,,'actor',169.0
charlotte rae,4000000.0,female,us,1926-04-22,92.0,0.0,2018-08-05,,,'singer',152.0
charlotte rampling,15000000.0,female,gb,1946-02-05,77.0,1.0,,,,'actor',170.00000000000003
charlotte riley,8000000.0,female,gb,1981-12-29,41.0,1.0,,,,'actor',165.0
charlotte mckinney,1000000.0,female,gb,1989,,,,,,nan,
charlotte ross,10000000.0,female,us,1968-01-21,55.0,1.0,,,,'actor',160.0
charlyne yi,1000000.0,female,us,1986-01-04,37.0,1.0,,,,'comedian',160.0
charlton heston,40000000.0,male,us,1923-10-04,84.0,0.0,2008-04-05,,,'actor',191.0
cheech marin,30000000.0,male,us,1946-07-13,76.0,1.0,,,,'comedian',168.00000000000003
chazz palminteri,16000000.0,male,us,1952-05-15,71.0,1.0,,,,'actor',191.0
chelsea handler,35000000.0,female,us,1975-02-25,48.0,1.0,,,,'comedian',168.00000000000003
chelsea kane staub,4000000.0,female,us,1988-09-15,34.0,1.0,,,,'actor',170.00000000000003
chelsea kane staub,4000000.0,female,us,1988-09-15,34.0,1.0,,,,'actor',170.00000000000003
chelsea peretti,3000000.0,female,us,1978-02-20,45.0,1.0,,,,'comedian',
helene fischer,25000000.0,female,de,1984-08-05,38.0,1.0,,,,'singer',
helene fischer,25000000.0,female,de,1984-08-05,38.0,1.0,,,,'singer',
cher lloyd,4000000.0,female,gb,1993-07-28,29.0,1.0,,,,'rapper',157.0
cheri oteri,2000000.0,female,us,1962-09-19,60.0,1.0,,,,'comedian',157.0
cherry jones,4000000.0,female,us,1956-11-21,66.0,1.0,,,,'actor',
cherie johnson,1000000.0,female,us,1975-11-21,47.0,1.0,,,,'actor',
cheryl burke,450000.0,female,us,1984-05-03,39.0,1.0,,,,'dancer',163.0
cheryl cole,40000000.0,female,gb,1983-06-30,40.0,1.0,,,,'singer',160.0
cheryl tiegs,30000000.0,female,us,1947-09-25,75.0,1.0,,,,'model',178.0
chespirito,50000000.0,male,mx,1929-02-21,85.0,0.0,2014-11-28,,,'screenwriter',162.0
cheryl hines,14000000.0,female,us,1965-09-21,57.0,1.0,,,,'actor',165.0
cheryl ladd,10000000.0,female,us,1951-07-12,71.0,1.0,,,,'singer',163.0
chester bennington,30000000.0,male,us,1976-03-20,41.0,0.0,2017-07-20,,,'musician',178.0
chesney hawkes,10000000.0,male,gb,1971-09-22,51.0,1.0,,,,'singer',180.0
chevy chase,50000000.0,male,us,1943-10-08,79.0,1.0,,,,'actor',193.00000000000003
chi mcbride,10000000.0,male,us,1961-09-23,61.0,1.0,,,,'actor',194.0
chiara ferragni,10000000.0,,,1987-05-07,36.0,1.0,,,,nan,
cheyenne jackson,5000000.0,male,us,1975-07-12,47.0,1.0,,,,'actor',191.0
chiaki kuriyama,11000000.0,female,jp,1984-10-10,38.0,1.0,,,,'actor',163.0
china anne mcclain,2000000.0,female,us,1998-08-25,24.0,1.0,,,,'actor',157.0
chief keef,1000000.0,,,1995-08-15,27.0,1.0,,,,'rapper',183.0
chip esten,4000000.0,male,us,1965-09-09,57.0,1.0,,,,'comedian',185.0
chip fields,1000000.0,female,us,1951-08-05,71.0,1.0,,,,'consultant',
chita rivera,2000000.0,female,us,1933-01-23,90.0,1.0,,,,'singer',160.0
chloe bridges,2000000.0,female,us,1991-12-27,31.0,1.0,,,,'actor',166.0
chloe goodman,4000000.0,,,,,,,,,nan,
chiwetel ejiofor,12000000.0,male,gb,1977-07-10,45.0,1.0,,,,'actor',178.0
chloe bennet,4000000.0,female,us,1992-04-18,31.0,1.0,,,,'actor',
chloe lukasiak,6000000.0,,,,,,,,,nan,
chloe sevigny,10000000.0,female,us,1974-11-18,48.0,1.0,,,,'model',173.0
chloe sevigny,10000000.0,female,us,1974-11-18,48.0,1.0,,,,'model',173.0
chloe webb,6000000.0,female,us,1956-06-25,67.0,1.0,,,,'actor',
chloe moretz,12000000.0,female,us,1997-02-10,26.0,1.0,,,,'actor',164.0
chord overstreet,1000000.0,male,us,1989-02-17,34.0,1.0,,,,'actor',183.0
chris bauer,1500000.0,male,us,1966-10-28,56.0,1.0,,,,'actor',189.0
chris benoit,500000.0,male,ca,1967-05-21,40.0,0.0,2007-06-24,,,'wrestler',180.0
chris brown,50000000.0,male,us,1989-05-05,34.0,1.0,,,,'singer',185.0
chris cagle,16000000.0,male,us,1968-11-10,54.0,1.0,,,,'singer',177.0
chris carmack,4000000.0,male,us,1980-12-22,42.0,1.0,,,,'model',185.0
