name,gender,occupation,height,details
daisy fuentes,female,"{""model"", ""actor"", ""master_of_ceremonies"", ""tv_personality"", ""comedian"", ""presenter"", ""designer""}",175.0,"{""net_worth"": 75000000.0, ""birthday"": ""1966-11-17"", ""age"": 56.0, ""is_alive"": 1.0, ""death"": null}"
daisy ridley,female,"{""actor""}",170.0,"{""net_worth"": 9000000.0, ""birthday"": null, ""age"": null, ""is_alive"": null, ""death"": null}"
daisy lowe,female,"{""fashion_model"", ""model"", ""actor""}",178.0,"{""net_worth"": 6000000.0, ""birthday"": ""1989-01-27"", ""age"": 34.0, ""is_alive"": 1.0, ""death"": null}"
dakota fanning,female,"{""actor"", ""voice_actor""}",163.0,"{""net_worth"": 12000000.0, ""birthday"": ""1994-02-23"", ""age"": 29.0, ""is_alive"": 1.0, ""death"": null}"
damian lillard,male,"{""basketball_player""}",191.0,"{""net_worth"": 70000000.0, ""birthday"": ""1990-07-15"", ""age"": 32.0, ""is_alive"": 1.0, ""death"": null}"
damian marley,male,"{""musician"", ""singer"", ""artist"", ""music_artist""}",178.0,"{""net_worth"": 20000000.0, ""birthday"": ""1978-07-21"", ""age"": 44.0, ""is_alive"": 1.0, ""death"": null}"
dallas roberts,male,"{""actor""}",177.0,"{""net_worth"": 2000000.0, ""birthday"": ""1970-05-10"", ""age"": 53.0, ""is_alive"": 1.0, ""death"": null}"
damian lewis,male,"{""actor"", ""film_producer""}",185.0,"{""net_worth"": 14000000.0, ""birthday"": ""1971-02-11"", ""age"": 52.0, ""is_alive"": 1.0, ""death"": null}"
damon albarn,male,"{""singer"", ""singer-songwriter"", ""musician"", ""record_producer"", ""keyboard_player"", ""actor"", ""composer"", ""songwriter"", ""multi-instrumentalist""}",183.0,"{""net_worth"": 40000000.0, ""birthday"": ""1968-03-23"", ""age"": 55.0, ""is_alive"": 1.0, ""death"": null}"
damon wayans,male,"{""comedian"", ""actor"", ""screenwriter"", ""film_producer"", ""television_director"", ""television_producer"", ""author""}",188.0,"{""net_worth"": 35000000.0, ""birthday"": ""1960-09-04"", ""age"": 62.0, ""is_alive"": 1.0, ""death"": null}"
damon wayans jr,male,"{""comedian"", ""actor"", ""screenwriter""}",185.0,"{""net_worth"": 9000000.0, ""birthday"": ""1982-11-18"", ""age"": 40.0, ""is_alive"": 1.0, ""death"": null}"
damon dash,male,"{""entrepreneur"", ""film_producer"", ""actor"", ""film_director"", ""music_producer"", ""screenwriter""}",178.0,"{""net_worth"": 10000.0, ""birthday"": ""1971-05-03"", ""age"": 52.0, ""is_alive"": 1.0, ""death"": null}"
dan aykroyd,male,"{""comedian"", ""singer"", ""actor"", ""screenwriter"", ""television_producer"", ""film_producer"", ""voice_actor""}",185.0,"{""net_worth"": 200000000.0, ""birthday"": ""1952-07-01"", ""age"": 71.0, ""is_alive"": 1.0, ""death"": null}"
dan blocker,male,"{""actor""}",193.0,"{""net_worth"": 5000000.0, ""birthday"": ""1928-12-10"", ""age"": 43.0, ""is_alive"": 0.0, ""death"": ""1972-05-13""}"
dan castellaneta,male,"{""comedian"", ""actor"", ""television_producer"", ""singer"", ""screenwriter"", ""voice_actor"", ""writer""}",178.0,"{""net_worth"": 85000000.0, ""birthday"": ""1957-10-29"", ""age"": 65.0, ""is_alive"": 1.0, ""death"": null}"
dan cortese,male,"{""vj"", ""actor"", ""television_director"", ""spokesperson""}",182.0,"{""net_worth"": 2500000.0, ""birthday"": ""1967-09-14"", ""age"": 55.0, ""is_alive"": 1.0, ""death"": null}"
dan fogler,male,"{""actor"", ""musician"", ""voice_actor"", ""comedian"", ""playwright"", ""screenwriter"", ""film_director"", ""film_producer""}",170.0,"{""net_worth"": 4000000.0, ""birthday"": ""1976-10-20"", ""age"": 46.0, ""is_alive"": 1.0, ""death"": null}"
dan haggerty,male,"{""actor""}",185.0,"{""net_worth"": 2500000.0, ""birthday"": ""1941-11-19"", ""age"": 81.0, ""is_alive"": 1.0, ""death"": null}"
dan lauria,male,"{""actor""}",180.0,"{""net_worth"": 4000000.0, ""birthday"": ""1947-04-12"", ""age"": 76.0, ""is_alive"": 1.0, ""death"": null}"
dan hedaya,male,"{""actor"", ""teacher""}",175.0,"{""net_worth"": 5000000.0, ""birthday"": ""1940-07-24"", ""age"": 82.0, ""is_alive"": 1.0, ""death"": null}"
dan marino,male,"{""american_football_player"", ""actor"", ""sports_analyst"", ""restaurateur"", ""broadcaster""}",193.0,"{""net_worth"": 50000000.0, ""birthday"": ""1961-09-15"", ""age"": 61.0, ""is_alive"": 1.0, ""death"": null}"
dan rather,male,"{""journalist"", ""television_producer"", ""writer"", ""presenter"", ""editor"", ""screenwriter"", ""film_producer"", ""actor""}",178.0,"{""net_worth"": 70000000.0, ""birthday"": ""1931-10-31"", ""age"": 91.0, ""is_alive"": 1.0, ""death"": null}"
dan schneider,male,"{""screenwriter"", ""television_producer"", ""actor"", ""songwriter"", ""film_producer"", ""musician"", ""film_score_composer""}",182.0,"{""net_worth"": 40000000.0, ""birthday"": ""1966-01-14"", ""age"": 57.0, ""is_alive"": 1.0, ""death"": null}"
sheridan smith,female,"{""actor"", ""singer"", ""dancer""}",157.0,"{""net_worth"": 20000000.0, ""birthday"": ""1981-06-25"", ""age"": 42.0, ""is_alive"": 1.0, ""death"": null}"
dana barron,female,"{""actor""}",160.0,"{""net_worth"": 500000.0, ""birthday"": ""1966-04-22"", ""age"": 57.0, ""is_alive"": 1.0, ""death"": null}"
dan stevens,male,"{""actor""}",183.0,"{""net_worth"": 4000000.0, ""birthday"": ""1982-10-10"", ""age"": 40.0, ""is_alive"": 1.0, ""death"": null}"
dana carvey,male,"{""comedian"", ""actor"", ""screenwriter"", ""television_producer""}",173.0,"{""net_worth"": 20000000.0, ""birthday"": ""1955-06-02"", ""age"": 68.0, ""is_alive"": 1.0, ""death"": null}"
dana davis,female,"{""actor""}",154.0,"{""net_worth"": 500000.0, ""birthday"": ""1978-10-04"", ""age"": 44.0, ""is_alive"": 1.0, ""death"": null}"
dana delany,female,"{""actor"", ""presenter"", ""film_producer"", ""voice_actor""}",167.0,"{""net_worth"": 10000000.0, ""birthday"": ""1956-03-13"", ""age"": 67.0, ""is_alive"": 1.0, ""death"": null}"
dana plato,female,"{""actor""}",157.0,"{""net_worth"": 1000.0, ""birthday"": ""1964-11-07"", ""age"": 34.0, ""is_alive"": 0.0, ""death"": ""1999-05-08""}"
dana white,male,"{""businessperson"", ""promoter"", ""television_producer""}",180.0,"{""net_worth"": 500000000.0, ""birthday"": ""1969-07-28"", ""age"": 53.0, ""is_alive"": 1.0, ""death"": null}"
danai gurira,female,"{""actor"", ""playwright""}",170.0,"{""net_worth"": 4000000.0, ""birthday"": ""1978-02-14"", ""age"": 45.0, ""is_alive"": 1.0, ""death"": null}"
dana perino,female,"{""commentator"", ""talk_show_host"", ""journalist""}",157.0,"{""net_worth"": 6000000.0, ""birthday"": ""1972-05-09"", ""age"": 51.0, ""is_alive"": 1.0, ""death"": null}"
danay garcia,female,"{""actor"", ""model""}",171.0,"{""net_worth"": 3000000.0, ""birthday"": ""1984-07-05"", ""age"": 39.0, ""is_alive"": 1.0, ""death"": null}"
dane cook,male,"{""actor"", ""screenwriter"", ""comedian"", ""film_producer"", ""voice_actor"", ""television_director"", ""film_director"", ""television_producer""}",183.0,"{""net_worth"": 35000000.0, ""birthday"": ""1972-03-18"", ""age"": 51.0, ""is_alive"": 1.0, ""death"": null}"
dane dehaan,male,"{""actor""}",170.0,"{""net_worth"": 750000.0, ""birthday"": ""1986-02-06"", ""age"": 37.0, ""is_alive"": 1.0, ""death"": null}"
dania ramirez,female,"{""actor""}",164.0,"{""net_worth"": 3000000.0, ""birthday"": ""1979-11-08"", ""age"": 43.0, ""is_alive"": 1.0, ""death"": null}"
danica mckellar,female,"{""actor"", ""screenwriter"", ""author"", ""film_director"", ""film_producer"", ""academician"", ""advocate""}",163.0,"{""net_worth"": 6000000.0, ""birthday"": ""1975-01-03"", ""age"": 48.0, ""is_alive"": 1.0, ""death"": null}"
danica patrick,female,"{""race_car_driver"", ""athlete"", ""spokesperson"", ""model""}",157.0,"{""net_worth"": 80000000.0, ""birthday"": ""1982-03-25"", ""age"": 41.0, ""is_alive"": 1.0, ""death"": null}"
daniel baldwin,male,"{""actor"", ""film_producer"", ""film_director""}",188.0,"{""net_worth"": 400000.0, ""birthday"": ""1960-10-05"", ""age"": 62.0, ""is_alive"": 1.0, ""death"": null}"
daniel bedingfield,male,"{""singer"", ""singer-songwriter""}",175.0,"{""net_worth"": 8000000.0, ""birthday"": ""1979-12-03"", ""age"": 43.0, ""is_alive"": 1.0, ""death"": null}"
daniel benzali,male,"{""actor"", ""singer""}",178.0,"{""net_worth"": 6000000.0, ""birthday"": ""1950-01-20"", ""age"": 73.0, ""is_alive"": 1.0, ""death"": null}"
daniel bernhardt,male,"{""actor"", ""model"", ""martial_artist"", ""voice_actor""}",189.0,"{""net_worth"": 500000.0, ""birthday"": ""1965-08-31"", ""age"": 57.0, ""is_alive"": 1.0, ""death"": null}"
daniel bryan,male,"{""wrestler"", ""actor""}",178.0,"{""net_worth"": 12000000.0, ""birthday"": ""1981-05-22"", ""age"": 42.0, ""is_alive"": 1.0, ""death"": null}"
daniel craig,male,"{""actor"", ""voice_actor""}",178.0,"{""net_worth"": 160000000.0, ""birthday"": ""1968-03-02"", ""age"": 55.0, ""is_alive"": 1.0, ""death"": null}"
daniel cudmore,male,"{""actor"", ""stunt_performer"", ""rugby_player""}",203.0,"{""net_worth"": 4000000.0, ""birthday"": ""1981-01-20"", ""age"": 42.0, ""is_alive"": 1.0, ""death"": null}"
daniel dae kim,male,"{""actor"", ""voice_actor""}",173.0,"{""net_worth"": 10000000.0, ""birthday"": ""1968-08-04"", ""age"": 54.0, ""is_alive"": 1.0, ""death"": null}"
daniel day-lewis,male,"{""actor""}",187.0,"{""net_worth"": 60000000.0, ""birthday"": ""1957-04-29"", ""age"": 66.0, ""is_alive"": 1.0, ""death"": null}"
daniel bruhl,male,"{""actor""}",176.0,"{""net_worth"": 4000000.0, ""birthday"": ""1978-06-16"", ""age"": 45.0, ""is_alive"": 1.0, ""death"": null}"
daniel gillies,male,"{""actor""}",180.0,"{""net_worth"": 3000000.0, ""birthday"": ""1976-03-14"", ""age"": 47.0, ""is_alive"": 1.0, ""death"": null}"
daniel goddard,male,"{""model"", ""actor""}",188.0,"{""net_worth"": 16700000.0, ""birthday"": ""1971-08-28"", ""age"": 51.0, ""is_alive"": 1.0, ""death"": null}"
daniel henney,male,"{""model"", ""actor""}",187.0,"{""net_worth"": 5000000.0, ""birthday"": ""1979-11-28"", ""age"": 43.0, ""is_alive"": 1.0, ""death"": null}"
daniel padilla,male,"{""actor"", ""music_artist"", ""presenter"", ""bassist"", ""model""}",175.0,"{""net_worth"": 10000000.0, ""birthday"": ""1995-04-26"", ""age"": 28.0, ""is_alive"": 1.0, ""death"": null}"
daniel stern,male,"{""actor"", ""television_director"", ""film_producer"", ""screenwriter"", ""sculptor"", ""voice_actor""}",193.0,"{""net_worth"": 12000000.0, ""birthday"": ""1957-08-28"", ""age"": 65.0, ""is_alive"": 1.0, ""death"": null}"
daniel radcliffe,male,"{""actor""}",165.0,"{""net_worth"": 110000000.0, ""birthday"": ""1989-07-23"", ""age"": 33.0, ""is_alive"": 1.0, ""death"": null}"
daniel sunjata,male,"{""actor""}",185.0,"{""net_worth"": 2000000.0, ""birthday"": ""1971-12-30"", ""age"": 51.0, ""is_alive"": 1.0, ""death"": null}"
daniel roebuck,male,"{""actor"", ""screenwriter"", ""film_producer"", ""television_producer"", ""film_director"", ""television_director"", ""teacher""}",183.0,"{""net_worth"": 3000000.0, ""birthday"": ""1963-03-04"", ""age"": 60.0, ""is_alive"": 1.0, ""death"": null}"
daniel tosh,male,"{""comedian"", ""actor"", ""voice_actor"", ""writer"", ""screenwriter"", ""television_producer"", ""presenter"", ""film_producer""}",191.0,"{""net_worth"": 20000000.0, ""birthday"": ""1975-05-29"", ""age"": 48.0, ""is_alive"": 1.0, ""death"": null}"
daniel wu,male,"{""actor"", ""model"", ""film_director"", ""film_producer""}",182.0,"{""net_worth"": 20000000.0, ""birthday"": ""1974-09-30"", ""age"": 48.0, ""is_alive"": 1.0, ""death"": null}"
daniela ruah,female,"{""actor""}",177.0,"{""net_worth"": 7000000.0, ""birthday"": ""1983-12-02"", ""age"": 39.0, ""is_alive"": 1.0, ""death"": null}"
daniella monet,female,"{""actor"", ""singer"", ""dancer""}",160.0,"{""net_worth"": 3000000.0, ""birthday"": ""1989-03-01"", ""age"": 34.0, ""is_alive"": 1.0, ""death"": null}"
danielle fishel,female,"{""actor""}",155.0,"{""net_worth"": 4000000.0, ""birthday"": ""1981-05-05"", ""age"": 42.0, ""is_alive"": 1.0, ""death"": null}"
danielle campbell,female,"{""actor""}",160.0,"{""net_worth"": 500000.0, ""birthday"": ""1995-01-30"", ""age"": 28.0, ""is_alive"": 1.0, ""death"": null}"
danielle lloyd,female,"{""model""}",168.0,"{""net_worth"": 3500000.0, ""birthday"": ""1983-12-16"", ""age"": 39.0, ""is_alive"": 1.0, ""death"": null}"
danielle harris,female,"{""actor"", ""film_director"", ""child_actor"", ""model""}",152.0,"{""net_worth"": 10000000.0, ""birthday"": ""1977-06-01"", ""age"": 46.0, ""is_alive"": 1.0, ""death"": null}"
danielle nicolet,female,"{""actor"", ""voice_actor""}",152.0,"{""net_worth"": 500000.0, ""birthday"": ""1975-11-24"", ""age"": 47.0, ""is_alive"": 1.0, ""death"": null}"
danielle panabaker,female,"{""actor""}",168.0,"{""net_worth"": 3000000.0, ""birthday"": ""1987-09-19"", ""age"": 35.0, ""is_alive"": 1.0, ""death"": null}"
danneel harris,female,"{""actor"", ""model""}",170.0,"{""net_worth"": 3000000.0, ""birthday"": ""1979-03-18"", ""age"": 44.0, ""is_alive"": 1.0, ""death"": null}"
danny aiello,male,"{""actor"", ""television_producer"", ""film_producer"", ""singer""}",191.0,"{""net_worth"": 6000000.0, ""birthday"": ""1933-06-20"", ""age"": 85.0, ""is_alive"": 0.0, ""death"": ""2018-12-12""}"
danny devito,male,"{""film_producer"", ""television_producer"", ""film_director"", ""television_director"", ""actor"", ""businessperson"", ""screenwriter"", ""voice_actor"", ""comedian"", ""singer""}",152.0,"{""net_worth"": 80000000.0, ""birthday"": ""1944-11-17"", ""age"": 78.0, ""is_alive"": 1.0, ""death"": null}"
danny dyer,male,"{""actor"", ""entrepreneur""}",183.0,"{""net_worth"": 5000000.0, ""birthday"": ""1977-07-24"", ""age"": 45.0, ""is_alive"": 1.0, ""death"": null}"
dannii minogue,female,"{""singer"", ""songwriter"", ""actor"", ""model"", ""fashion_designer"", ""radio_personality""}",157.0,"{""net_worth"": 22000000.0, ""birthday"": ""1971-10-20"", ""age"": 51.0, ""is_alive"": 1.0, ""death"": null}"
danny glover,male,"{""actor"", ""film_producer"", ""voice_actor"", ""television_producer"", ""film_director"", ""activist"", ""singer""}",192.0,"{""net_worth"": 40000000.0, ""birthday"": ""1946-07-22"", ""age"": 76.0, ""is_alive"": 1.0, ""death"": null}"
danny cooksey,male,"{""singer"", ""actor"", ""comedian"", ""voice_actor""}",185.0,"{""net_worth"": 500000.0, ""birthday"": ""1975-11-02"", ""age"": 47.0, ""is_alive"": 1.0, ""death"": null}"
danny huston,male,"{""actor"", ""film_director"", ""television_director""}",188.0,"{""net_worth"": 3000000.0, ""birthday"": ""1962-05-14"", ""age"": 61.0, ""is_alive"": 1.0, ""death"": null}"
danny kaye,male,"{""comedian"", ""actor"", ""musician"", ""dancer"", ""singer""}",180.0,"{""net_worth"": 10000000.0, ""birthday"": ""1911-01-18"", ""age"": 76.0, ""is_alive"": 0.0, ""death"": ""1987-03-03""}"
danny masterson,male,"{""actor"", ""disc_jockey"", ""businessperson"", ""model"", ""restaurateur""}",178.0,"{""net_worth"": 8000000.0, ""birthday"": ""1976-03-13"", ""age"": 47.0, ""is_alive"": 1.0, ""death"": null}"
danny mcbride,male,"{""actor"", ""stand-up_comedian"", ""television_producer"", ""screenwriter"", ""film_producer"", ""writer"", ""comedian""}",178.0,"{""net_worth"": 25000000.0, ""birthday"": ""1976-12-29"", ""age"": 46.0, ""is_alive"": 1.0, ""death"": null}"
danny pino,male,"{""actor""}",183.0,"{""net_worth"": 3000000.0, ""birthday"": ""1974-04-15"", ""age"": 49.0, ""is_alive"": 1.0, ""death"": null}"
danny pudi,male,"{""actor"", ""comedian"", ""television_producer"", ""screenwriter"", ""voice_actor""}",183.0,"{""net_worth"": 3000000.0, ""birthday"": ""1979-03-10"", ""age"": 44.0, ""is_alive"": 1.0, ""death"": null}"
danny nucci,male,"{""actor""}",178.0,"{""net_worth"": 2000000.0, ""birthday"": ""1968-09-15"", ""age"": 54.0, ""is_alive"": 1.0, ""death"": null}"
danny trejo,male,"{""actor"", ""film_producer"", ""voice_actor""}",168.0,"{""net_worth"": 8000000.0, ""birthday"": ""1944-05-16"", ""age"": 79.0, ""is_alive"": 1.0, ""death"": null}"
dante basco,male,"{""actor"", ""voice_actor"", ""poet"", ""dancer"", ""rapper"", ""film_producer""}",169.0,"{""net_worth"": 500000.0, ""birthday"": ""1975-08-29"", ""age"": 47.0, ""is_alive"": 1.0, ""death"": null}"
danny strong,male,"{""actor"", ""screenwriter"", ""film_producer""}",157.0,"{""net_worth"": 5000000.0, ""birthday"": ""1974-06-06"", ""age"": 49.0, ""is_alive"": 1.0, ""death"": null}"
dappy,male,"{""actor"", ""songwriter"", ""master_of_ceremonies"", ""singer"", ""singer-songwriter"", ""rapper""}",160.0,"{""net_worth"": 2000000.0, ""birthday"": ""1987-06-11"", ""age"": 36.0, ""is_alive"": 1.0, ""death"": null}"
danny woodburn,male,"{""actor"", ""comedian""}",121.0,"{""net_worth"": 2000000.0, ""birthday"": ""1964-07-26"", ""age"": 58.0, ""is_alive"": 1.0, ""death"": null}"
daragh o'malley,male,"{""actor""}",191.0,"{""net_worth"": 2000000.0, ""birthday"": ""1954-05-25"", ""age"": 69.0, ""is_alive"": 1.0, ""death"": null}"
darby stanchfield,female,"{""actor""}",170.0,"{""net_worth"": 4000000.0, ""birthday"": ""1971-04-29"", ""age"": 52.0, ""is_alive"": 1.0, ""death"": null}"
daphne zuniga,female,"{""actor"", ""voice_actor""}",173.0,"{""net_worth"": 3000000.0, ""birthday"": ""1962-10-28"", ""age"": 60.0, ""is_alive"": 1.0, ""death"": null}"
darcey bussell,female,"{""ballet_dancer""}",170.0,"{""net_worth"": 10000000.0, ""birthday"": ""1969-04-27"", ""age"": 54.0, ""is_alive"": 1.0, ""death"": null}"
daren kagasoff,male,"{""actor""}",178.0,"{""net_worth"": 2000000.0, ""birthday"": ""1987-09-16"", ""age"": 35.0, ""is_alive"": 1.0, ""death"": null}"
darius mccrary,male,"{""actor"", ""singer"", ""songwriter"", ""music_producer""}",190.0,"{""net_worth"": 100000.0, ""birthday"": ""1976-05-01"", ""age"": 47.0, ""is_alive"": 1.0, ""death"": null}"
darius rucker,male,"{""singer-songwriter"", ""guitarist"", ""musician""}",178.0,"{""net_worth"": 12000000.0, ""birthday"": ""1966-05-13"", ""age"": 57.0, ""is_alive"": 1.0, ""death"": null}"
daria werbowy,female,"{""fashion_model"", ""supermodel""}",180.0,"{""net_worth"": 28000000.0, ""birthday"": ""1983-11-19"", ""age"": 39.0, ""is_alive"": 1.0, ""death"": null}"
darren criss,male,"{""actor"", ""singer-songwriter"", ""composer"", ""musician"", ""businessperson""}",173.0,"{""net_worth"": 3500000.0, ""birthday"": ""1987-02-05"", ""age"": 36.0, ""is_alive"": 1.0, ""death"": null}"
darren hayes,male,"{""singer"", ""singer-songwriter"", ""composer""}",178.0,"{""net_worth"": 20000000.0, ""birthday"": ""1972-05-08"", ""age"": 51.0, ""is_alive"": 1.0, ""death"": null}"
daryl sabara,male,"{""actor"", ""voice_actor"", ""comedian""}",177.0,"{""net_worth"": 750000.0, ""birthday"": ""1992-06-14"", ""age"": 31.0, ""is_alive"": 1.0, ""death"": null}"
daryl hall,male,"{""singer"", ""musician"", ""songwriter"", ""record_producer"", ""keyboard_player"", ""actor"", ""guitarist""}",185.0,"{""net_worth"": 70000000.0, ""birthday"": ""1946-10-11"", ""age"": 76.0, ""is_alive"": 1.0, ""death"": null}"
daryl hannah,female,"{""film_producer"", ""actor"", ""businessperson"", ""environmentalist"", ""activist""}",178.0,"{""net_worth"": 20000000.0, ""birthday"": ""1960-12-03"", ""age"": 62.0, ""is_alive"": 1.0, ""death"": null}"
dash mihok,male,"{""actor"", ""film_director"", ""film_producer""}",191.0,"{""net_worth"": 3000000.0, ""birthday"": ""1974-05-24"", ""age"": 49.0, ""is_alive"": 1.0, ""death"": null}"
dascha polanco,female,"{""actor""}",165.0,"{""net_worth"": 5000000.0, ""birthday"": null, ""age"": null, ""is_alive"": null, ""death"": null}"
dave annable,male,"{""actor""}",175.0,"{""net_worth"": 1500000.0, ""birthday"": ""1979-09-15"", ""age"": 43.0, ""is_alive"": 1.0, ""death"": null}"
dave coulier,male,"{""comedian"", ""actor"", ""voice_actor"", ""impressionist"", ""presenter""}",180.0,"{""net_worth"": 5000000.0, ""birthday"": ""1959-09-21"", ""age"": 63.0, ""is_alive"": 1.0, ""death"": null}"
dave franco,male,"{""actor"", ""screenwriter"", ""film_producer"", ""musician""}",170.0,"{""net_worth"": 10000000.0, ""birthday"": ""1985-06-12"", ""age"": 38.0, ""is_alive"": 1.0, ""death"": null}"
dave grohl,male,"{""songwriter"", ""singer"", ""musician"", ""drummer"", ""guitarist"", ""multi-instrumentalist"", ""actor"", ""film_director"", ""singer-songwriter""}",183.0,"{""net_worth"": 320000000.0, ""birthday"": ""1969-01-14"", ""age"": 54.0, ""is_alive"": 1.0, ""death"": null}"
dave matthews,male,"{""singer"", ""songwriter"", ""musician"", ""singer-songwriter"", ""guitarist"", ""actor""}",189.0,"{""net_worth"": 300000000.0, ""birthday"": ""1967-01-09"", ""age"": 56.0, ""is_alive"": 1.0, ""death"": null}"
dave chappelle,male,"{""actor"", ""comedian"", ""film_producer"", ""television_producer"", ""artist"", ""screenwriter""}",183.0,"{""net_worth"": 50000000.0, ""birthday"": ""1973-08-24"", ""age"": 49.0, ""is_alive"": 1.0, ""death"": null}"
dave bautista,male,"{""wrestler"", ""actor"", ""mixed_martial_artist"", ""bodybuilder"", ""lifeguard""}",198.0,"{""net_worth"": 16000000.0, ""birthday"": ""1969-01-18"", ""age"": 54.0, ""is_alive"": 1.0, ""death"": null}"
dave legeno,male,"{""actor"", ""professional_boxer"", ""mixed_martial_artist"", ""wrestler"", ""bouncer""}",191.0,"{""net_worth"": 500000.0, ""birthday"": ""1963-10-12"", ""age"": 59.0, ""is_alive"": 1.0, ""death"": null}"
dave navarro,male,"{""actor"", ""composer"", ""singer"", ""guitarist"", ""musician"", ""television_producer"", ""film_score_composer""}",175.0,"{""net_worth"": 20000000.0, ""birthday"": ""1967-06-07"", ""age"": 56.0, ""is_alive"": 1.0, ""death"": null}"
dave mustaine,male,"{""singer"", ""musician"", ""songwriter"", ""actor"", ""record_producer"", ""singer-songwriter"", ""author"", ""guitarist"", ""talent_manager""}",183.0,"{""net_worth"": 18000000.0, ""birthday"": ""1961-09-13"", ""age"": 61.0, ""is_alive"": 1.0, ""death"": null}"
daveigh chase,female,"{""actor"", ""singer"", ""voice_actor""}",170.0,"{""net_worth"": 500000.0, ""birthday"": ""1990-07-24"", ""age"": 32.0, ""is_alive"": 1.0, ""death"": null}"
david archuleta,male,"{""singer-songwriter"", ""actor"", ""musician""}",160.0,"{""net_worth"": 5000000.0, ""birthday"": ""1990-12-28"", ""age"": 32.0, ""is_alive"": 1.0, ""death"": null}"
david attenborough,male,"{""actor"", ""naturalist"", ""television_producer"", ""writer"", ""presenter"", ""environmentalist"", ""screenwriter"", ""broadcaster""}",178.0,"{""net_worth"": 35000000.0, ""birthday"": ""1926-05-08"", ""age"": 97.0, ""is_alive"": 1.0, ""death"": null}"
david arquette,male,"{""wrestler"", ""actor"", ""film_producer"", ""television_producer"", ""screenwriter"", ""fashion_designer"", ""voice_actor"", ""film_director"", ""television_director""}",180.0,"{""net_worth"": 25000000.0, ""birthday"": ""1971-09-08"", ""age"": 51.0, ""is_alive"": 1.0, ""death"": null}"
david beckham,male,"{""model"", ""athlete"", ""actor"", ""soccer_player""}",183.0,"{""net_worth"": 450000000.0, ""birthday"": ""1975-05-02"", ""age"": 48.0, ""is_alive"": 1.0, ""death"": null}"
david alan grier,male,"{""comedian"", ""actor"", ""screenwriter"", ""television_producer"", ""voice_actor"", ""singer""}",187.0,"{""net_worth"": 4000000.0, ""birthday"": ""1956-06-30"", ""age"": 67.0, ""is_alive"": 1.0, ""death"": null}"
david anders,male,"{""actor""}",183.0,"{""net_worth"": 5000000.0, ""birthday"": ""1981-03-11"", ""age"": 42.0, ""is_alive"": 1.0, ""death"": null}"
david bisbal,male,"{""singer"", ""songwriter""}",175.0,"{""net_worth"": 5000000.0, ""birthday"": ""1979-06-05"", ""age"": 44.0, ""is_alive"": 1.0, ""death"": null}"
david boreanaz,male,"{""actor"", ""television_producer"", ""television_director"", ""voice_actor""}",185.0,"{""net_worth"": 30000000.0, ""birthday"": ""1969-05-16"", ""age"": 54.0, ""is_alive"": 1.0, ""death"": null}"
david baddiel,male,"{""presenter"", ""novelist"", ""comedian"", ""screenwriter"", ""actor"", ""writer""}",172.0,"{""net_worth"": 6000000.0, ""birthday"": ""1964-05-28"", ""age"": 59.0, ""is_alive"": 1.0, ""death"": null}"
david bowie,male,"{""singer"", ""actor"", ""songwriter"", ""musician"", ""film_score_composer"", ""music_arranger"", ""record_producer"", ""singer-songwriter""}",178.0,"{""net_worth"": 230000000.0, ""birthday"": ""1947-01-08"", ""age"": 69.0, ""is_alive"": 0.0, ""death"": ""2016-01-10""}"
david blaine,male,"{""illusionist"", ""magician"", ""stunt_performer"", ""film_producer"", ""film_director"", ""actor""}",183.0,"{""net_worth"": 40000000.0, ""birthday"": ""1973-04-04"", ""age"": 50.0, ""is_alive"": 1.0, ""death"": null}"
david byrne,male,"{""musician"", ""singer"", ""artist"", ""actor"", ""film_producer"", ""film_director"", ""guitarist"", ""record_producer"", ""songwriter"", ""film_score_composer""}",183.0,"{""net_worth"": 40000000.0, ""birthday"": ""1952-05-14"", ""age"": 71.0, ""is_alive"": 1.0, ""death"": null}"
david burtka,male,"{""actor"", ""chef""}",179.0,"{""net_worth"": 3000000.0, ""birthday"": ""1975-05-29"", ""age"": 48.0, ""is_alive"": 1.0, ""death"": null}"
david cassidy,male,"{""actor"", ""songwriter"", ""guitarist"", ""singer"", ""writer""}",173.0,"{""net_worth"": 500000.0, ""birthday"": ""1950-04-12"", ""age"": 67.0, ""is_alive"": 0.0, ""death"": ""2017-11-21""}"
david carradine,male,"{""actor"", ""martial_artist"", ""musician"", ""singer-songwriter"", ""television_director"", ""film_producer"", ""television_producer"", ""film_director"", ""voice_actor""}",185.0,"{""net_worth"": 500000.0, ""birthday"": ""1936-12-08"", ""age"": 72.0, ""is_alive"": 0.0, ""death"": ""2009-06-03""}"
david chokachi,male,"{""actor""}",180.0,"{""net_worth"": 3000000.0, ""birthday"": ""1968-01-16"", ""age"": 55.0, ""is_alive"": 1.0, ""death"": null}"
david cameron,male,"{""politician"", ""spokesperson"", ""editor""}",185.0,"{""net_worth"": 50000000.0, ""birthday"": ""1966-10-09"", ""age"": 56.0, ""is_alive"": 1.0, ""death"": null}"
david charvet,male,"{""singer"", ""actor""}",183.0,"{""net_worth"": 30000000.0, ""birthday"": ""1972-05-15"", ""age"": 51.0, ""is_alive"": 1.0, ""death"": null}"
